Series Code,DPANUSSPB
1997M01 [1997M01],4.258147265
1997M02 [1997M02],4.463548387
1997M03 [1997M03],4.57085023
1997M04 [1997M04],5.225485795
1997M05 [1997M05],3.17071875
1997M06 [1997M06],3.494552381
1997M07 [1997M07],3.351930435
1997M08 [1997M08],3.344
1997M09 [1997M09],3.344
1997M10 [1997M10],3.38126087
1997M11 [1997M11],3.565313187
1997M12 [1997M12],3.767791209
1998M01 [1998M01],3.979686813
1998M02 [1998M02],4.164271429
1998M03 [1998M03],4.167
1998M04 [1998M04],4.129045455
1998M05 [1998M05],3.811380952
1998M06 [1998M06],4.009545455
1998M07 [1998M07],4.11
1998M08 [1998M08],4.180285714
1998M09 [1998M09],4.183272727
1998M10 [1998M10],4.184318182
1998M11 [1998M11],4.187952381
1998M12 [1998M12],4.16126087
1999M01 [1999M01],4.185714286
1999M02 [1999M02],4.191
1999M03 [1999M03],4.164
1999M04 [1999M04],4.14625
1999M05 [1999M05],4.177291667
1999M06 [1999M06],4.3503125
1999M07 [1999M07],4.537272727
1999M08 [1999M08],4.48
1999M09 [1999M09],4.5
1999M10 [1999M10],4.46
1999M11 [1999M11],4.51
1999M12 [1999M12],4.493
2000M01 [2000M01],5.654428571
2000M02 [2000M02],8.506666667
2000M03 [2000M03],8.507
2000M04 [2000M04],8.507
2000M05 [2000M05],8.507
2000M06 [2000M06],15.67881818
2000M07 [2000M07],22.213
2000M08 [2000M08],22.213
2000M09 [2000M09],22.213
2000M10 [2000M10],22.21286364
2000M11 [2000M11],47.26204545
2000M12 [2000M12],47.1552381
2001M01 [2001M01],47.06621739
2001M02 [2001M02],47.263
2001M03 [2001M03],47.263
2001M04 [2001M04],47.263
2001M05 [2001M05],74.33336957
2001M06 [2001M06],330.1334762
2001M07 [2001M07],265.71575
2001M08 [2001M08],265.7293478
2001M09 [2001M09],293.78255
2001M10 [2001M10],307.2941522
2001M11 [2001M11],313.6509545
2001M12 [2001M12],316.8619524
2002M01 [2002M01],323.1395652
2002M02 [2002M02],330.51175
2002M03 [2002M03],327.8746667
2002M04 [2002M04],316.4897727
2002M05 [2002M05],310.2669565
2002M06 [2002M06],332.155875
2002M07 [2002M07],335.8666522
2002M08 [2002M08],343.9307955
2002M09 [2002M09],352.8222619
2002M10 [2002M10],367.1333696
2002M11 [2002M11],396.6259524
2002M12 [2002M12],369.7975649
2003M01 [2003M01],371.1481843
2003M02 [2003M02],415.9730167
2003M03 [2003M03],405.5478571
2003M04 [2003M04],407.4402273
2003M05 [2003M05],412.3344156
2003M06 [2003M06],417.6734694
2003M07 [2003M07],420.8680435
2003M08 [2003M08],424.4171429
2003M09 [2003M09],412.8225
2003M10 [2003M10],375.9347826
2003M11 [2003M11],372.475
2003M12 [2003M12],373.3768116
2004M01 [2004M01],379.2651515
2004M02 [2004M02],380.75
2004M03 [2004M03],387.0434783
2004M04 [2004M04],390.4090909
2004M05 [2004M05],392.0714286
2004M06 [2004M06],391.5454545
2004M07 [2004M07],390.7954545
2004M08 [2004M08],392.4545455
2004M09 [2004M09],403.7045455
2004M10 [2004M10],426.3333333
2004M11 [2004M11],426.2727273
2004M12 [2004M12],439.4130435
2005M01 [2005M01],451.7380952
2005M02 [2005M02],469.4
2005M03 [2005M03],490.2717391
2005M04 [2005M04],510.047619
2005M05 [2005M05],513.8636364
2005M06 [2005M06],473.4318182
2005M07 [2005M07],474.6666667
2005M08 [2005M08],491.8913043
2005M09 [2005M09],470.3181818
2005M10 [2005M10],460.6666667
2005M11 [2005M11],463.1136364
2005M12 [2005M12],446.8863636
2006M01 [2006M01],439.125
2006M02 [2006M02],433.85
2006M03 [2006M03],431.4347826
2006M04 [2006M04],432.125
2006M05 [2006M05],436.9565217
2006M06 [2006M06],445.1818182
2006M07 [2006M07],443.0238095
2006M08 [2006M08],454.4130435
2006M09 [2006M09],467
2006M10 [2006M10],516.2272727
2006M11 [2006M11],538.8636364
2006M12 [2006M12],539.5238095
2007M01 [2007M01],530.7173913
2007M02 [2007M02],538.65
2007M03 [2007M03],566.8181818
2007M04 [2007M04],564.7142857
2007M05 [2007M05],555.9021739
2007M06 [2007M06],557.5
2007M07 [2007M07],558.6590909
2007M08 [2007M08],559.7826087
2007M09 [2007M09],560
2007M10 [2007M10],560
2007M11 [2007M11],557.4545455
2007M12 [2007M12],554.4404762
2008M01 [2008M01],547.7826087
2008M02 [2008M02],550.0595238
2008M03 [2008M03],551.8428571
2008M04 [2008M04],551.4772727
2008M05 [2008M05],551.6818182
2008M06 [2008M06],551.7628571
2008M07 [2008M07],551.6956522
2008M08 [2008M08],553.3095238
2008M09 [2008M09],554.6818182
2008M10 [2008M10],561.6395652
2008M11 [2008M11],581.46645
2008M12 [2008M12],605.1771087
2009M01 [2009M01],672.3034545
2009M02 [2009M02],725.54235
2009M03 [2009M03],788.4602273
2009M04 [2009M04],832.4790909
2009M05 [2009M05],789.7098095
2009M06 [2009M06],765.6799091
2009M07 [2009M07],770.2315217
2009M08 [2009M08],801.828
2009M09 [2009M09],835.6815455
2009M10 [2009M10],869.3994091
2009M11 [2009M11],898.678619
2009M12 [2009M12],904.6665217
2010M01 [2010M01],909.4751429
2010M02 [2010M02],917.97205
2010M03 [2010M03],911.956913
2010M04 [2010M04],897.8372273
2010M05 [2010M05],897.515619
2010M06 [2010M06],898.4375909
2010M07 [2010M07],901.3031818
2010M08 [2010M08],901.4495
2010M09 [2010M09],903.5997273
2010M10 [2010M10],907.4015238
2010M11 [2010M11],910.8576364
2010M12 [2010M12],912.0600435
2011M01 [2011M01],919.5357619
2011M02 [2011M02],925.1563
2011M03 [2011M03],920.710087
2011M04 [2011M04],920.8927619
2011M05 [2011M05],925.4502273
2011M06 [2011M06],923.2307273
2011M07 [2011M07],922.629619
2011M08 [2011M08],920.9111304
2011M09 [2011M09],921.745
2011M10 [2011M10],920.4262857
2011M11 [2011M11],912.2575455
2011M12 [2011M12],898.1259545
2012M01 [2012M01],916.8670455
2012M02 [2012M02],920.5317619
2012M03 [2012M03],921.6395455
2012M04 [2012M04],921.8695238
2012M05 [2012M05],923.1563478
2012M06 [2012M06],921.8378095
2012M07 [2012M07],920.3329091
2012M08 [2012M08],918.8161304
2012M09 [2012M09],918.20435
2012M10 [2012M10],916.8345217
2012M11 [2012M11],915.8568636
2012M12 [2012M12],915.119619
2013M01 [2013M01],916.117913
2013M02 [2013M02],917.8404
2013M03 [2013M03],917.3644762
2013M04 [2013M04],917.5642273
2013M05 [2013M05],918.3735217
2013M06 [2013M06],921.97385
2013M07 [2013M07],920.3162174
2013M08 [2013M08],921.035
2013M09 [2013M09],921.9761905
2013M10 [2013M10],922.5434783
2013M11 [2013M11],922.2671429
2013M12 [2013M12],920.2895455
2014M01 [2014M01],922.0195652
2014M02 [2014M02],922.2375
2014M03 [2014M03],922.7357143
2014M04 [2014M04],922.5556818
2014M05 [2014M05],921.8459091
2014M06 [2014M06],923.0207143
2014M07 [2014M07],922.6889565
2014M08 [2014M08],922.7090476
2014M09 [2014M09],923.3568182
2014M10 [2014M10],922.7413043
2014M11 [2014M11],920.95
2014M12 [2014M12],921.7826087
2015M01 [2015M01],920.5454545
2015M02 [2015M02],921.35
2015M03 [2015M03],918.7045455
2015M04 [2015M04],923.4431818
2015M05 [2015M05],917.1666667
2015M06 [2015M06],921.1704545
2015M07 [2015M07],920.0434783
2015M08 [2015M08],918.9935065
2015M09 [2015M09],921.5743802
2015M10 [2015M10],924.9545455
2015M11 [2015M11],921.9761905
2015M12 [2015M12],923.5543478
2016M01 [2016M01],925.1904762
2016M02 [2016M02],927.3571429
2016M03 [2016M03],925.5782609
2016M04 [2016M04],923.9619048
2016M05 [2016M05],926.8636364
2016M06 [2016M06],937.75
2016M07 [2016M07],950.6428571
2016M08 [2016M08],979.1630435
2016M09 [2016M09],974.1204545
2016M10 [2016M10],972.3809524
2016M11 [2016M11],1011.090909
2016M12 [2016M12],1165.022727
2017M01 [2017M01],1217.477273
2017M02 [2017M02],1278.7875
2017M03 [2017M03],1333.667391
2017M04 [2017M04],1379.17175
2017M05 [2017M05],1411.273261
2017M06 [2017M06],1463.8075
2017M07 [2017M07],1556.540476
2017M08 [2017M08],1592.945652
2017M09 [2017M09],1557.011905
2017M10 [2017M10],1566.397727
2017M11 [2017M11],1575.909091
2017M12 [2017M12],1592.778912
2018M01 [2018M01],1595.434472
2018M02 [2018M02],1606.52
2018M03 [2018M03],1616.852273
2018M04 [2018M04],1615.595238
2018M05 [2018M05],1615.630435
2018M06 [2018M06],1615.642857
2018M07 [2018M07],1619.954545
2018M08 [2018M08],1620.630435
2018M09 [2018M09],1621.375
2018M10 [2018M10],1623.293478
2018M11 [2018M11],1620.568182
2018M12 [2018M12],1625.642857
2019M01 [2019M01],1632.514957
2019M02 [2019M02],1637.293325
2019M03 [2019M03],1638.8372
2019M04 [2019M04],1639.276858
2019M05 [2019M05],1640.800932
2019M06 [2019M06],1643.317775
2019M07 [2019M07],1645.7465
2019M08 [2019M08],1651.331136
2019M09 [2019M09],1653.88231
2019M10 [2019M10],1654.090457
2019M11 [2019M11],1658.246905
2019M12 [2019M12],1667.255197
2020M01 [2020M01],1678.596964
2020M02 [2020M02],1686.95205
2020M03 [2020M03],1700.442818
2020M04 [2020M04],1714.628523
2020M05 [2020M05],1767.710619
2020M06 [2020M06],1863.894068
2020M07 [2020M07],1960.794957
2020M08 [2020M08],1955.133738
2020M09 [2020M09],1955.095955
2020M10 [2020M10],1958.547591
2020M11 [2020M11],1959.61719
2020M12 [2020M12],1963.684152
2021M01 [2021M01],1964.020857
2021M02 [2021M02],1970.207625
2021M03 [2021M03],1967.094135
2021M04 [2021M04],1974.469927
2021M05 [2021M05],1983.63031
2021M06 [2021M06],1976.970614
2021M07 [2021M07],1975.294295
2021M08 [2021M08],1972.406705
2021M09 [2021M09],1972.511068
2021M10 [2021M10],1973.131016
2021M11 [2021M11],1982.363182
2021M12 [2021M12],1985.272703
2022M01 [2022M01],1988.643976
2022M02 [2022M02],1993.286475
2022M03 [2022M03],1995.137587
2022M04 [2022M04],1995.26331
2022M05 [2022M05],1994.954636
2022M06 [2022M06],1994.28617
2022M07 [2022M07],1995.97706
2022M08 [2022M08],1999.675065
2022M09 [2022M09],2010.818432
2022M10 [2022M10],2011.9355
2022M11 [2022M11],2015.394386
2022M12 [2022M12],2016.441705
2023M01 [2023M01],2017.80125
2023M02 [2023M02],2034.043975
2023M03 [2023M03],2043.911217
2023M04 [2023M04],2042.609125
2023M05 [2023M05],2163.106326
2023M06 [2023M06],2224.365409
2023M07 [2023M07],2383.659229
2023M08 [2023M08],2429.725829
2023M09 [2023M09],2452.924466
2023M10 [2023M10],2488.42559
2023M11 [2023M11],2481.948289
2023M12 [2023M12],2616.333833
2024M01 [2024M01],2677.953935
2024M02 [2024M02],2717.844381
2024M03 [2024M03],2753.669976
2024M04 [2024M04],2759.781159
2024M05 [2024M05],2765.334848
2024M06 [2024M06],2806.47625
2024M07 [2024M07],2833.837
2024M08 [2024M08],2836.8795
2024M09 [2024M09],2837.504738
2024M10 [2024M10],2842.317163
2024M11 [2024M11],2849.117036
2024M12 [2024M12],2843.710273
2025M01 [2025M01],2845.534652
2025M02 [2025M02],2850.9321
2025M03 [2025M03],2859.219714
2025M04 [2025M04],2886.410295
2025M05 [2025M05],2872.897068
2025M06 [2025M06],2865.814248
2025M07 [2025M07],2870.434664
