Country,Average Age of Lawmakers,Median Age of Population
United States,59,38
Mexico,48,30
Australia,50,37
Ireland,49,37
South Korea,55,43
Japan,55,48
U.K.,51,40
Greece,54,45
Canada,52,44
Norway,46,40
Switzerland,49,43
Germany,47,47
Italy,45,46
Netherlands,44,43
Sweden,45,41
,48,37
,47,37
,53,39
,46,42
,48,42
,50,42
,51,42
,48,43
,49,45
,47,44
