county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
01073,Unidentified disaster,2022,2033965.0,Jefferson County
01073,Unidentified disaster,2023,2412168.25,Jefferson County
01075,none,2020,0.0,Lamar County
01075,none,2021,0.0,Lamar County
01075,Unidentified disaster,2022,192500.0,Lamar County
01075,none,2023,0.0,Lamar County
01077,none,2020,0.0,Lauderdale County
01077,none,2021,0.0,Lauderdale County
01077,none,2022,0.0,Lauderdale County
01077,none,2023,0.0,Lauderdale County
01079,none,2020,0.0,Lawrence County
01079,none,2021,0.0,Lawrence County
01079,none,2022,0.0,Lawrence County
01079,none,2023,0.0,Lawrence County
01081,none,2020,0.0,Lee County
01081,none,2021,0.0,Lee County
01081,none,2022,0.0,Lee County
01081,none,2023,0.0,Lee County
01083,none,2020,0.0,Limestone County
01083,none,2021,0.0,Limestone County
01083,none,2022,0.0,Limestone County
01083,none,2023,0.0,Limestone County
01085,none,2020,0.0,Lowndes County
01085,none,2021,0.0,Lowndes County
01085,none,2022,0.0,Lowndes County
01085,none,2023,0.0,Lowndes County
01087,none,2020,0.0,Macon County
01087,none,2021,0.0,Macon County
01087,none,2022,0.0,Macon County
01087,none,2023,0.0,Macon County
01089,Unidentified disaster,2020,12000000.0,Madison County
01089,none,2021,0.0,Madison County
01089,none,2022,0.0,Madison County
01089,none,2023,0.0,Madison County
01091,none,2020,0.0,Marengo County
01091,none,2021,0.0,Marengo County
01091,none,2022,0.0,Marengo County
01091,none,2023,0.0,Marengo County
01093,Unidentified disaster,2020,297150.0,Marion County
01093,none,2021,0.0,Marion County
01093,none,2022,0.0,Marion County
01093,none,2023,0.0,Marion County
01095,none,2020,0.0,Marshall County
01095,none,2021,0.0,Marshall County
01095,none,2022,0.0,Marshall County
01095,none,2023,0.0,Marshall County
01097,none,2020,0.0,Mobile County
01097,Unidentified disaster,2021,34466227.85,Mobile County
01097,none,2022,0.0,Mobile County
01097,Unidentified disaster,2023,9766462.0,Mobile County
01099,none,2020,0.0,Monroe County
01099,none,2021,0.0,Monroe County
01099,none,2022,0.0,Monroe County
01099,none,2023,0.0,Monroe County
01101,Unidentified disaster,2020,966990.0,Montgomery County
01101,Unidentified disaster,2021,1160041.05,Montgomery County
01101,none,2022,0.0,Montgomery County
01101,none,2023,0.0,Montgomery County
01103,Unidentified disaster,2020,1484598.68,Morgan County
01103,none,2021,0.0,Morgan County
01103,none,2022,0.0,Morgan County
01103,none,2023,0.0,Morgan County
01105,Unidentified disaster,2020,2820343.0,Perry County
01105,none,2021,0.0,Perry County
01105,none,2022,0.0,Perry County
01105,none,2023,0.0,Perry County
01107,none,2020,0.0,Pickens County
01107,none,2021,0.0,Pickens County
01107,none,2022,0.0,Pickens County
01107,none,2023,0.0,Pickens County
01109,none,2020,0.0,Pike County
01109,none,2021,0.0,Pike County
01109,none,2022,0.0,Pike County
01109,none,2023,0.0,Pike County
01111,none,2020,0.0,Randolph County
01111,none,2021,0.0,Randolph County
01111,none,2022,0.0,Randolph County
01111,none,2023,0.0,Randolph County
01113,Unidentified disaster,2020,701495.3,Russell County
01113,none,2021,0.0,Russell County
01113,none,2022,0.0,Russell County
01113,none,2023,0.0,Russell County
01115,none,2020,0.0,St. Clair County
01115,none,2021,0.0,St. Clair County
01115,none,2022,0.0,St. Clair County
01115,none,2023,0.0,St. Clair County
01117,none,2020,0.0,Shelby County
01117,none,2021,0.0,Shelby County
01117,none,2022,0.0,Shelby County
01117,Unidentified disaster,2023,23256928.0,Shelby County
01119,none,2020,0.0,Sumter County
01119,none,2021,0.0,Sumter County
01119,none,2022,0.0,Sumter County
01119,none,2023,0.0,Sumter County
01121,none,2020,0.0,Talladega County
01121,none,2021,0.0,Talladega County
01121,none,2022,0.0,Talladega County
01121,none,2023,0.0,Talladega County
01123,none,2020,0.0,Tallapoosa County
01123,none,2021,0.0,Tallapoosa County
01123,none,2022,0.0,Tallapoosa County
01123,none,2023,0.0,Tallapoosa County
01125,none,2020,0.0,Tuscaloosa County
01125,none,2021,0.0,Tuscaloosa County
01125,none,2022,0.0,Tuscaloosa County
01125,none,2023,0.0,Tuscaloosa County
01127,none,2020,0.0,Walker County
01127,none,2021,0.0,Walker County
01127,none,2022,0.0,Walker County
01127,none,2023,0.0,Walker County
01129,none,2020,0.0,Washington County
01129,none,2021,0.0,Washington County
01129,none,2022,0.0,Washington County
01129,none,2023,0.0,Washington County
01131,none,2020,0.0,Wilcox County
01131,none,2021,0.0,Wilcox County
01131,none,2022,0.0,Wilcox County
01131,none,2023,0.0,Wilcox County
01133,none,2020,0.0,Winston County
01133,none,2021,0.0,Winston County
01133,none,2022,0.0,Winston County
01133,none,2023,0.0,Winston County
02013,none,2020,0.0,Aleutians East Borough
02013,none,2021,0.0,Aleutians East Borough
02013,none,2022,0.0,Aleutians East Borough
02013,none,2023,0.0,Aleutians East Borough
02016,Unidentified disaster,2020,389125.31,Aleutians West Census Area
02016,Unidentified disaster,2021,919690.01,Aleutians West Census Area
02016,Unidentified disaster,2022,289935.69,Aleutians West Census Area
02016,Unidentified disaster,2023,183750.0,Aleutians West Census Area
02020,Unidentified disaster,2020,206282.5,Anchorage Municipality
02020,Unidentified disaster,2021,3479920.01,Anchorage Municipality
