county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
12065,Unidentified disaster,2021,41696.18,Jefferson County
12069,Infrastructure failure/Manmade disaster,2023,3785691.84,Lake County
12073,Fire/Extreme temperature/Drought,2023,3537105.0,Leon County
12073,Unidentified disaster,2020,542869.14,Leon County
12073,Unidentified disaster,2021,2630761.31,Leon County
12073,Unidentified disaster,2022,34070648.31,Leon County
12073,Unidentified disaster,2023,18588998.67,Leon County
12081,Flooding/Tropical storm/Hurricane,2020,105850.5,Manatee County
12081,Infrastructure failure/Manmade disaster,2023,663965.14,Manatee County
12083,Infrastructure failure/Manmade disaster,2022,4900747.44,Marion County
12086,Flooding/Tropical storm/Hurricane,2020,8339296.7,Miami-Dade County
12086,Flooding/Tropical storm/Hurricane,2022,86693435.69,Miami-Dade County
12086,Infrastructure failure/Manmade disaster,2022,573156.15,Miami-Dade County
12086,Tornado/Severe storm,2022,643394.62,Miami-Dade County
12086,Unidentified disaster,2020,34982034.03,Miami-Dade County
12086,Unidentified disaster,2022,3348966.6,Miami-Dade County
12087,Flooding/Tropical storm/Hurricane,2020,15971763.209999999,Monroe County
12087,Flooding/Tropical storm/Hurricane,2021,3237742.0,Monroe County
12087,Flooding/Tropical storm/Hurricane,2022,16625991.73,Monroe County
12087,Flooding/Tropical storm/Hurricane,2023,6522345.3100000005,Monroe County
12087,Unidentified disaster,2022,1045817.72,Monroe County
12095,Flooding/Tropical storm/Hurricane,2023,8229819.75,Orange County
12095,Infrastructure failure/Manmade disaster,2023,350000.0,Orange County
12095,Tornado/Severe storm,2023,623991.0,Orange County
12097,Fire/Extreme temperature/Drought,2021,97020000.0,Osceola County
12099,Flooding/Tropical storm/Hurricane,2020,127119999.4,Palm Beach County
12099,Flooding/Tropical storm/Hurricane,2021,3622500.0,Palm Beach County
12099,Flooding/Tropical storm/Hurricane,2022,4935000.0,Palm Beach County
12101,Flooding/Tropical storm/Hurricane,2020,2588518.06,Pasco County
12101,Flooding/Tropical storm/Hurricane,2021,1718709.86,Pasco County
12101,Flooding/Tropical storm/Hurricane,2022,3508338.0300000003,Pasco County
12101,Flooding/Tropical storm/Hurricane,2023,4569622.86,Pasco County
12101,Infrastructure failure/Manmade disaster,2023,57015784.96,Pasco County
12101,Tornado/Severe storm,2020,175000.0,Pasco County
12101,Tornado/Severe storm,2021,1237547.85,Pasco County
12101,Unidentified disaster,2020,690585.0,Pasco County
12101,Unidentified disaster,2021,321878.45,Pasco County
12103,Flooding/Tropical storm/Hurricane,2020,318729.81,Pinellas County
12103,Flooding/Tropical storm/Hurricane,2021,5086200.42,Pinellas County
12103,Flooding/Tropical storm/Hurricane,2022,4450949.97,Pinellas County
12103,Flooding/Tropical storm/Hurricane,2023,1680527.09,Pinellas County
12109,Flooding/Tropical storm/Hurricane,2020,342381.94,St. Johns County
12109,Flooding/Tropical storm/Hurricane,2021,4831377.13,St. Johns County
12109,Flooding/Tropical storm/Hurricane,2022,12244799.65,St. Johns County
12109,Flooding/Tropical storm/Hurricane,2023,4759902.0,St. Johns County
12111,Flooding/Tropical storm/Hurricane,2020,3915941.0,St. Lucie County
12111,Flooding/Tropical storm/Hurricane,2021,4620736.05,St. Lucie County
12111,Infrastructure failure/Manmade disaster,2022,372514.0,St. Lucie County
12113,Flooding/Tropical storm/Hurricane,2021,397145.0,Santa Rosa County
12113,Flooding/Tropical storm/Hurricane,2022,6006662.5,Santa Rosa County
12113,Flooding/Tropical storm/Hurricane,2023,1598051.11,Santa Rosa County
12115,Flooding/Tropical storm/Hurricane,2020,177498.0,Sarasota County
12115,Flooding/Tropical storm/Hurricane,2023,972293.54,Sarasota County
12117,Flooding/Tropical storm/Hurricane,2020,690350.0,Seminole County
12117,Flooding/Tropical storm/Hurricane,2023,817689.01,Seminole County
12117,Infrastructure failure/Manmade disaster,2022,406341.24,Seminole County
12119,Infrastructure failure/Manmade disaster,2022,655221.0,Sumter County
12119,Unidentified disaster,2022,3262593.82,Sumter County
12125,Infrastructure failure/Manmade disaster,2023,7173122.25,Union County
12127,Flooding/Tropical storm/Hurricane,2023,6248418.76,Volusia County
13021,Flooding/Tropical storm/Hurricane,2023,71681.4,Bibb County
13029,Flooding/Tropical storm/Hurricane,2023,355000.0,Bryan County
13031,Tornado/Severe storm,2023,29606.4,Bulloch County
13039,Flooding/Tropical storm/Hurricane,2022,12187708.0,Camden County
13051,Flooding/Tropical storm/Hurricane,2020,14000000.0,Chatham County
13051,Flooding/Tropical storm/Hurricane,2021,46884271.4,Chatham County
13051,Flooding/Tropical storm/Hurricane,2022,879460.0,Chatham County
13051,Flooding/Tropical storm/Hurricane,2023,558000.0,Chatham County
13051,Tornado/Severe storm,2023,5409264.0,Chatham County
13051,Unidentified disaster,2021,45264.6,Chatham County
13055,Flooding/Tropical storm/Hurricane,2020,52407.0,Chattooga County
13055,Flooding/Tropical storm/Hurricane,2023,35911.05,Chattooga County
13057,Flooding/Tropical storm/Hurricane,2023,35911.05,Cherokee County
13059,Flooding/Tropical storm/Hurricane,2022,79268.0,Clarke County
13059,Flooding/Tropical storm/Hurricane,2023,468250.0,Clarke County
13063,Flooding/Tropical storm/Hurricane,2021,23377623.15,Clayton County
13063,Flooding/Tropical storm/Hurricane,2023,58701.0,Clayton County
13063,Tornado/Severe storm,2023,68400.0,Clayton County
13067,Tornado/Severe storm,2021,8806073.4,Cobb County
13073,Infrastructure failure/Manmade disaster,2023,67048944.0,Columbia County
13077,Flooding/Tropical storm/Hurricane,2020,42000.0,Coweta County
13081,Infrastructure failure/Manmade disaster,2023,140522.0,Crisp County
13083,Flooding/Tropical storm/Hurricane,2023,35911.05,Dade County
13085,Flooding/Tropical storm/Hurricane,2020,31500.0,Dawson County
13089,Flooding/Tropical storm/Hurricane,2020,6153798.0,DeKalb County
13089,Flooding/Tropical storm/Hurricane,2021,55748411.16,DeKalb County
13089,Flooding/Tropical storm/Hurricane,2022,792045.0,DeKalb County
13089,Flooding/Tropical storm/Hurricane,2023,345290.95999999996,DeKalb County
13089,Infrastructure failure/Manmade disaster,2023,9766079.71,DeKalb County
13089,Tornado/Severe storm,2023,2587639.69,DeKalb County
13089,Unidentified disaster,2020,59068.69,DeKalb County
13089,Unidentified disaster,2021,8748273.04,DeKalb County
13089,Unidentified disaster,2022,179304.25,DeKalb County
13089,Unidentified disaster,2023,6795916.06,DeKalb County
13093,Tornado/Severe storm,2023,230000.0,Dooly County
13095,Flooding/Tropical storm/Hurricane,2020,451983.0,Dougherty County
13095,Tornado/Severe storm,2020,559112.96,Dougherty County
13101,Flooding/Tropical storm/Hurricane,2020,27300.0,Echols County
13103,Flooding/Tropical storm/Hurricane,2023,680000.0,Effingham County
13121,Flooding/Tropical storm/Hurricane,2020,732500.0,Fulton County
13121,Tornado/Severe storm,2021,251841.45,Fulton County
13121,Unidentified disaster,2020,314404.0,Fulton County
13123,Flooding/Tropical storm/Hurricane,2020,29400.0,Gilmer County
13127,Flooding/Tropical storm/Hurricane,2020,156900.0,Glynn County
13129,Tornado/Severe storm,2020,842500.52,Gordon County
13133,Flooding/Tropical storm/Hurricane,2020,35700.0,Greene County
13137,Flooding/Tropical storm/Hurricane,2022,105314.48,Habersham County
13147,Tornado/Severe storm,2022,493500.0,Hart County
13151,Tornado/Severe storm,2021,55713.92,Henry County
13185,Infrastructure failure/Manmade disaster,2020,264350.0,Lowndes County
13191,Flooding/Tropical storm/Hurricane,2020,35700.0,McIntosh County
13199,Flooding/Tropical storm/Hurricane,2022,670680.0,Meriwether County
13201,Flooding/Tropical storm/Hurricane,2020,676785.0,Miller County
13205,Flooding/Tropical storm/Hurricane,2022,3190474.23,Mitchell County
13223,Blizzard/Winter storm,2021,1584229.57,Paulding County
13223,Flooding/Tropical storm/Hurricane,2023,58701.0,Paulding County
13225,Flooding/Tropical storm/Hurricane,2023,3639300.0,Peach County
13233,Tornado/Severe storm,2020,746800.0,Polk County
13237,Flooding/Tropical storm/Hurricane,2020,30000.0,Putnam County
13255,Flooding/Tropical storm/Hurricane,2023,35911.05,Spalding County
13269,Flooding/Tropical storm/Hurricane,2020,23100.0,Taylor County
13275,Flooding/Tropical storm/Hurricane,2022,235500.0,Thomas County
13293,Flooding/Tropical storm/Hurricane,2022,924750.0,Upson County
13303,Flooding/Tropical storm/Hurricane,2020,21000.0,Washington County
13303,Flooding/Tropical storm/Hurricane,2022,3440282.0,Washington County
13317,Flooding/Tropical storm/Hurricane,2020,21000.0,Wilkes County
13317,Tornado/Severe storm,2020,199760.0,Wilkes County
13319,Infrastructure failure/Manmade disaster,2020,748640.0,Wilkinson County
15003,Earthquake/Landslide,2022,1400000.0,Honolulu County
15003,Fire/Extreme temperature/Drought,2020,333333.0,Honolulu County
15003,Flooding/Tropical storm/Hurricane,2020,200000.0,Honolulu County
15003,Flooding/Tropical storm/Hurricane,2021,393750.0,Honolulu County
15003,Flooding/Tropical storm/Hurricane,2023,580074.72,Honolulu County
15003,Infrastructure failure/Manmade disaster,2020,11231001.440000001,Honolulu County
15003,Infrastructure failure/Manmade disaster,2021,10974704.51,Honolulu County
15003,Infrastructure failure/Manmade disaster,2022,11899025.01,Honolulu County
15003,Infrastructure failure/Manmade disaster,2023,5078000.0,Honolulu County
15003,Tornado/Severe storm,2020,10050000.0,Honolulu County
15003,Tornado/Severe storm,2021,20050081.8,Honolulu County
15003,Tornado/Severe storm,2022,600000.0,Honolulu County
15003,Tornado/Severe storm,2023,3944521.41,Honolulu County
15003,Unidentified disaster,2020,140407242.7,Honolulu County
15003,Unidentified disaster,2021,282500.0,Honolulu County
15003,Unidentified disaster,2022,201557.66,Honolulu County
15003,Unidentified disaster,2023,3083080.0,Honolulu County
15007,Flooding/Tropical storm/Hurricane,2021,24780000.0,Kauai County
15009,Infrastructure failure/Manmade disaster,2020,6150000.0,Maui County
15009,Tornado/Severe storm,2020,27350827.0,Maui County
16001,Fire/Extreme temperature/Drought,2023,2666666.67,Ada County
16001,Flooding/Tropical storm/Hurricane,2020,4162313.0,Ada County
16001,Flooding/Tropical storm/Hurricane,2022,6321949.91,Ada County
16001,Unidentified disaster,2020,59815.5,Ada County
16001,Unidentified disaster,2021,64499.99,Ada County
16001,Unidentified disaster,2022,74669.76,Ada County
16001,Unidentified disaster,2023,200000.0,Ada County
16005,Fire/Extreme temperature/Drought,2022,141111.6,Bannock County
16019,Tornado/Severe storm,2020,1648515.0,Bonneville County
16023,Fire/Extreme temperature/Drought,2020,72200.18,Butte County
16027,Infrastructure failure/Manmade disaster,2023,1235537.0,Canyon County
16031,Infrastructure failure/Manmade disaster,2020,100000.0,Cassia County
16037,Infrastructure failure/Manmade disaster,2021,7869840.0,Custer County
16037,Infrastructure failure/Manmade disaster,2022,7869840.0,Custer County
16039,Fire/Extreme temperature/Drought,2023,281944.45,Elmore County
16043,Earthquake/Landslide,2021,35000.0,Fremont County
16045,Fire/Extreme temperature/Drought,2023,90000.0,Gem County
16047,Flooding/Tropical storm/Hurricane,2021,0.0,Gooding County
16055,Infrastructure failure/Manmade disaster,2021,8811547.07,Kootenai County
16055,Tornado/Severe storm,2020,28863940.02,Kootenai County
16055,Tornado/Severe storm,2021,11213989.79,Kootenai County
16057,Fire/Extreme temperature/Drought,2023,80000.0,Latah County
16061,Fire/Extreme temperature/Drought,2023,1877848.1600000001,Lewis County
16061,Flooding/Tropical storm/Hurricane,2022,425586.0,Lewis County
16065,Infrastructure failure/Manmade disaster,2022,180000.0,Madison County
16069,Flooding/Tropical storm/Hurricane,2020,450000.0,Nez Perce County
16069,Flooding/Tropical storm/Hurricane,2023,4834330.0,Nez Perce County
16069,Infrastructure failure/Manmade disaster,2020,257000.0,Nez Perce County
16077,Tornado/Severe storm,2020,30900.0,Power County
16081,Flooding/Tropical storm/Hurricane,2020,2800000.0,Teton County
16081,Flooding/Tropical storm/Hurricane,2023,867373.55,Teton County
16085,Fire/Extreme temperature/Drought,2023,91321.6,Valley County
16085,Flooding/Tropical storm/Hurricane,2021,300000.0,Valley County
16085,Flooding/Tropical storm/Hurricane,2022,300000.0,Valley County
16087,Flooding/Tropical storm/Hurricane,2023,93750.0,Washington County
17011,Flooding/Tropical storm/Hurricane,2023,22000.0,Bureau County
17011,Infrastructure failure/Manmade disaster,2022,25560233.0,Bureau County
17013,Flooding/Tropical storm/Hurricane,2021,269425.75,Calhoun County
17013,Flooding/Tropical storm/Hurricane,2022,311767.05,Calhoun County
17015,Tornado/Severe storm,2023,123304.8,Carroll County
17019,Tornado/Severe storm,2023,65190.4,Champaign County
17029,Flooding/Tropical storm/Hurricane,2021,6030900.0,Coles County
17031,Fire/Extreme temperature/Drought,2020,289000.0,Cook County
17031,Flooding/Tropical storm/Hurricane,2020,80294907.09,Cook County
17031,Flooding/Tropical storm/Hurricane,2021,138967211.93,Cook County
17031,Flooding/Tropical storm/Hurricane,2022,155823615.34,Cook County
17031,Flooding/Tropical storm/Hurricane,2023,473559398.96000004,Cook County
17031,Infrastructure failure/Manmade disaster,2020,5220000.0,Cook County
17031,Infrastructure failure/Manmade disaster,2021,23100.0,Cook County
17031,Infrastructure failure/Manmade disaster,2022,354736.47,Cook County
17031,Infrastructure failure/Manmade disaster,2023,4776178.22,Cook County
17031,Unidentified disaster,2023,19038.48,Cook County
17035,Blizzard/Winter storm,2023,64351.93,Cumberland County
17037,Infrastructure failure/Manmade disaster,2023,51984.0,DeKalb County
17043,Flooding/Tropical storm/Hurricane,2020,6352198.25,DuPage County
17043,Flooding/Tropical storm/Hurricane,2021,14566526.45,DuPage County
17043,Flooding/Tropical storm/Hurricane,2022,6341342.0,DuPage County
17043,Flooding/Tropical storm/Hurricane,2023,10618339.75,DuPage County
17043,Tornado/Severe storm,2022,603750.0,DuPage County
17045,Infrastructure failure/Manmade disaster,2023,20000.0,Edgar County
17063,Infrastructure failure/Manmade disaster,2021,443750.0,Grundy County
17075,Flooding/Tropical storm/Hurricane,2020,8608806.0,Iroquois County
17075,Flooding/Tropical storm/Hurricane,2023,7700.0,Iroquois County
17075,Tornado/Severe storm,2022,35765198.0,Iroquois County
17075,Tornado/Severe storm,2023,44913.6,Iroquois County
17077,Flooding/Tropical storm/Hurricane,2020,3422739.0,Jackson County
17083,Flooding/Tropical storm/Hurricane,2020,611312.82,Jersey County
17085,Tornado/Severe storm,2023,7878831.1,Jo Daviess County
17089,Flooding/Tropical storm/Hurricane,2020,399000.0,Kane County
17089,Flooding/Tropical storm/Hurricane,2023,685000.0,Kane County
17089,Tornado/Severe storm,2023,475000.0,Kane County
17089,Unidentified disaster,2023,53308.0,Kane County
17097,Flooding/Tropical storm/Hurricane,2020,51305.11,Lake County
17097,Flooding/Tropical storm/Hurricane,2023,3231200.0,Lake County
17097,Infrastructure failure/Manmade disaster,2023,37500.0,Lake County
17097,Tornado/Severe storm,2023,14200.0,Lake County
17099,Flooding/Tropical storm/Hurricane,2020,7098023.48,LaSalle County
17099,Flooding/Tropical storm/Hurricane,2021,9899523.48,LaSalle County
17099,Flooding/Tropical storm/Hurricane,2022,3847935.0,LaSalle County
17099,Flooding/Tropical storm/Hurricane,2023,24200.0,LaSalle County
17099,Tornado/Severe storm,2023,35000.0,LaSalle County
17103,Flooding/Tropical storm/Hurricane,2020,3000000.0,Lee County
17103,Flooding/Tropical storm/Hurricane,2023,528920.0,Lee County
17103,Tornado/Severe storm,2021,0.0,Lee County
17103,Tornado/Severe storm,2023,70664.4,Lee County
17105,Flooding/Tropical storm/Hurricane,2023,50632.22,Livingston County
17109,Tornado/Severe storm,2023,106630.0,McDonough County
17111,Flooding/Tropical storm/Hurricane,2020,692777.92,McHenry County
17111,Flooding/Tropical storm/Hurricane,2023,4631306.0,McHenry County
17111,Tornado/Severe storm,2023,5334416.0,McHenry County
17113,Fire/Extreme temperature/Drought,2023,47266.45,McLean County
17113,Flooding/Tropical storm/Hurricane,2023,3663457.0,McLean County
17115,Tornado/Severe storm,2023,54451.0,Macon County
17119,Flooding/Tropical storm/Hurricane,2022,5575351.99,Madison County
17119,Flooding/Tropical storm/Hurricane,2023,15823447.9,Madison County
17129,Tornado/Severe storm,2023,52222.0,Menard County
17135,Flooding/Tropical storm/Hurricane,2023,250000.0,Montgomery County
17137,Tornado/Severe storm,2023,83970.07,Morgan County
17141,Flooding/Tropical storm/Hurricane,2021,51840.88,Ogle County
17141,Tornado/Severe storm,2023,72633.47,Ogle County
17141,Unidentified disaster,2023,10000.0,Ogle County
17143,Flooding/Tropical storm/Hurricane,2020,4883188.0,Peoria County
17143,Flooding/Tropical storm/Hurricane,2021,9198181.629999999,Peoria County
17143,Flooding/Tropical storm/Hurricane,2022,6701268.0,Peoria County
17147,Tornado/Severe storm,2023,462054.0,Piatt County
17161,Flooding/Tropical storm/Hurricane,2021,7316057.0,Rock Island County
17161,Flooding/Tropical storm/Hurricane,2022,5771608.4,Rock Island County
17163,Flooding/Tropical storm/Hurricane,2023,749000.0,St. Clair County
17163,Infrastructure failure/Manmade disaster,2020,22911859.2,St. Clair County
17163,Tornado/Severe storm,2023,1665625.0,St. Clair County
17167,Earthquake/Landslide,2023,403125.0,Sangamon County
17167,Flooding/Tropical storm/Hurricane,2020,300000.0,Sangamon County
17167,Flooding/Tropical storm/Hurricane,2021,24049.12,Sangamon County
17167,Tornado/Severe storm,2022,500000.0,Sangamon County
17167,Tornado/Severe storm,2023,1148843.45,Sangamon County
17167,Unidentified disaster,2020,597435.61,Sangamon County
17167,Unidentified disaster,2021,283077.26,Sangamon County
17167,Unidentified disaster,2022,23329803.47,Sangamon County
17167,Unidentified disaster,2023,54979799.9,Sangamon County
17169,Tornado/Severe storm,2023,61327.4,Schuyler County
17177,Flooding/Tropical storm/Hurricane,2020,3129820.0,Stephenson County
17177,Flooding/Tropical storm/Hurricane,2021,309735.0,Stephenson County
17179,Flooding/Tropical storm/Hurricane,2023,1244485.0,Tazewell County
17187,Tornado/Severe storm,2023,100000.0,Warren County
17197,Infrastructure failure/Manmade disaster,2023,45000.0,Will County
17201,Flooding/Tropical storm/Hurricane,2020,6514400.08,Winnebago County
