county,Hazard,fiscalYear,totalSubapplicationAmount,COUNTYNAME
40027,Flooding/Tropical storm/Hurricane,2020,418072.3,Cleveland County
40027,Flooding/Tropical storm/Hurricane,2023,3176167.7,Cleveland County
04003,Fire/Extreme temperature/Drought,2021,51337950.0,Cochise County
04003,Fire/Extreme temperature/Drought,2022,71678571.0,Cochise County
04003,Fire/Extreme temperature/Drought,2023,72365935.16,Cochise County
04003,Flooding/Tropical storm/Hurricane,2022,262500.0,Cochise County
40031,Flooding/Tropical storm/Hurricane,2020,21727100.0,Comanche County
40031,Flooding/Tropical storm/Hurricane,2021,21727100.0,Comanche County
04005,Earthquake/Landslide,2021,1489600.0,Coconino County
04005,Fire/Extreme temperature/Drought,2020,246722.0,Coconino County
04005,Fire/Extreme temperature/Drought,2023,100000.0,Coconino County
04005,Flooding/Tropical storm/Hurricane,2020,1077750.0,Coconino County
04005,Flooding/Tropical storm/Hurricane,2021,1995852.88,Coconino County
04005,Flooding/Tropical storm/Hurricane,2022,53108146.0,Coconino County
04005,Flooding/Tropical storm/Hurricane,2023,2201895.9,Coconino County
04007,Flooding/Tropical storm/Hurricane,2022,570000.0,Gila County
04007,Flooding/Tropical storm/Hurricane,2023,583581.56,Gila County
40091,Tornado/Severe storm,2020,1523984.5,McIntosh County
40101,Flooding/Tropical storm/Hurricane,2023,650000.0,Muskogee County
40103,Fire/Extreme temperature/Drought,2023,250000.0,Noble County
40103,Flooding/Tropical storm/Hurricane,2022,1500.0,Noble County
40103,Flooding/Tropical storm/Hurricane,2023,704672.0,Noble County
40103,Infrastructure failure/Manmade disaster,2023,3348000.0,Noble County
40103,Tornado/Severe storm,2022,224251.0,Noble County
40103,Tornado/Severe storm,2023,355954.4,Noble County
40109,Flooding/Tropical storm/Hurricane,2020,851000.0,Oklahoma County
40109,Flooding/Tropical storm/Hurricane,2021,415287.63,Oklahoma County
40109,Flooding/Tropical storm/Hurricane,2022,12792712.0,Oklahoma County
40109,Flooding/Tropical storm/Hurricane,2023,16889862.869999997,Oklahoma County
40109,Tornado/Severe storm,2020,19266000.0,Oklahoma County
40109,Tornado/Severe storm,2021,699791.0,Oklahoma County
40109,Tornado/Severe storm,2022,1163400.0,Oklahoma County
40109,Unidentified disaster,2020,125100.0,Oklahoma County
40109,Unidentified disaster,2021,131502.26,Oklahoma County
40109,Unidentified disaster,2022,266340.0,Oklahoma County
40109,Unidentified disaster,2023,2443809.73,Oklahoma County
40111,Blizzard/Winter storm,2023,828897.0,Okmulgee County
40111,Flooding/Tropical storm/Hurricane,2023,123668800.04,Okmulgee County
40111,Tornado/Severe storm,2021,1400000.0,Okmulgee County
40111,Unidentified disaster,2021,140000.0,Okmulgee County
40113,Flooding/Tropical storm/Hurricane,2023,126605.0,Osage County
40113,Tornado/Severe storm,2020,34500.0,Osage County
40115,Flooding/Tropical storm/Hurricane,2020,5522978.14,Ottawa County
40115,Tornado/Severe storm,2023,3823356.6,Ottawa County
40119,Tornado/Severe storm,2020,210840.0,Payne County
40119,Unidentified disaster,2020,21084.0,Payne County
04012,Tornado/Severe storm,2020,50093.12,La Paz County
40123,Fire/Extreme temperature/Drought,2022,1074931.0,Pontotoc County
40125,Tornado/Severe storm,2022,465984.12,Pottawatomie County
40125,Unidentified disaster,2022,51088.62,Pottawatomie County
04013,Fire/Extreme temperature/Drought,2022,37106389.0,Maricopa County
04013,Fire/Extreme temperature/Drought,2023,9135128.45,Maricopa County
04013,Flooding/Tropical storm/Hurricane,2022,41240908.82,Maricopa County
04013,Flooding/Tropical storm/Hurricane,2023,1688772.0,Maricopa County
04013,Infrastructure failure/Manmade disaster,2020,6137492.0,Maricopa County
04013,Infrastructure failure/Manmade disaster,2022,58043630.0,Maricopa County
04013,Infrastructure failure/Manmade disaster,2023,22665230.0,Maricopa County
04013,Unidentified disaster,2020,54173.42,Maricopa County
04013,Unidentified disaster,2021,9869.95,Maricopa County
04013,Unidentified disaster,2022,6155630.9,Maricopa County
04013,Unidentified disaster,2023,13081379.65,Maricopa County
40143,Flooding/Tropical storm/Hurricane,2020,31046670.0,Tulsa County
40143,Flooding/Tropical storm/Hurricane,2021,2977836.79,Tulsa County
40143,Flooding/Tropical storm/Hurricane,2022,1076033.34,Tulsa County
40143,Flooding/Tropical storm/Hurricane,2023,3418648.76,Tulsa County
40143,Tornado/Severe storm,2023,303417.91,Tulsa County
04015,Flooding/Tropical storm/Hurricane,2023,8250000.0,Mohave County
04017,Infrastructure failure/Manmade disaster,2021,3839258.0,Navajo County
04017,Tornado/Severe storm,2023,167448.0,Navajo County
04019,Earthquake/Landslide,2020,141641.11,Pima County
04019,Earthquake/Landslide,2021,98699.4,Pima County
04019,Flooding/Tropical storm/Hurricane,2020,3563359.0,Pima County
04019,Flooding/Tropical storm/Hurricane,2021,3623361.61,Pima County
04019,Tornado/Severe storm,2020,3000000.0,Pima County
04019,Tornado/Severe storm,2021,5217527.55,Pima County
04019,Unidentified disaster,2023,228658.31,Pima County
04021,Flooding/Tropical storm/Hurricane,2020,150000.0,Pinal County
04021,Flooding/Tropical storm/Hurricane,2022,118502618.0,Pinal County
04021,Flooding/Tropical storm/Hurricane,2023,1230000.0,Pinal County
04021,Tornado/Severe storm,2020,442500.0,Pinal County
04025,Flooding/Tropical storm/Hurricane,2020,200000.0,Yavapai County
04025,Flooding/Tropical storm/Hurricane,2022,1000000.0,Yavapai County
04025,Flooding/Tropical storm/Hurricane,2023,3327041.58,Yavapai County
04025,Tornado/Severe storm,2020,588850.0,Yavapai County
04027,Flooding/Tropical storm/Hurricane,2022,4473854.0,Yuma County
04027,Flooding/Tropical storm/Hurricane,2023,10517000.0,Yuma County
41001,Fire/Extreme temperature/Drought,2023,50000.0,Baker County
41003,Earthquake/Landslide,2023,4720128.12,Benton County
41005,Fire/Extreme temperature/Drought,2021,82656959.0,Clackamas County
41005,Fire/Extreme temperature/Drought,2022,84164807.0,Clackamas County
41005,Fire/Extreme temperature/Drought,2023,88352638.58,Clackamas County
41005,Flooding/Tropical storm/Hurricane,2021,12066391.0,Clackamas County
41007,Earthquake/Landslide,2023,7035000.0,Clatsop County
41007,Flooding/Tropical storm/Hurricane,2021,300000.0,Clatsop County
41007,Flooding/Tropical storm/Hurricane,2022,22263757.38,Clatsop County
41009,Flooding/Tropical storm/Hurricane,2023,549106.0,Columbia County
41011,Earthquake/Landslide,2023,1639700.0,Coos County
41015,Fire/Extreme temperature/Drought,2022,72318159.85,Curry County
41015,Fire/Extreme temperature/Drought,2023,7608618.3100000005,Curry County
41017,Fire/Extreme temperature/Drought,2022,3250000.0,Deschutes County
41017,Fire/Extreme temperature/Drought,2023,56856799.0,Deschutes County
41019,Earthquake/Landslide,2020,9652500.0,Douglas County
41025,Fire/Extreme temperature/Drought,2022,4922101.8,Harney County
41027,Earthquake/Landslide,2021,6388542.11,Hood River County
41029,Earthquake/Landslide,2022,49323339.0,Jackson County
41029,Fire/Extreme temperature/Drought,2020,4470630.69,Jackson County
41029,Fire/Extreme temperature/Drought,2022,163187.0,Jackson County
41029,Fire/Extreme temperature/Drought,2023,992394.97,Jackson County
41029,Tornado/Severe storm,2023,305183.26,Jackson County
41033,Flooding/Tropical storm/Hurricane,2021,131149226.78,Josephine County
41033,Flooding/Tropical storm/Hurricane,2022,116340317.0,Josephine County
41035,Fire/Extreme temperature/Drought,2023,105518.2,Klamath County
41039,Blizzard/Winter storm,2023,122700.0,Lane County
41039,Earthquake/Landslide,2022,25437008.7,Lane County
41039,Earthquake/Landslide,2023,26546339.66,Lane County
41039,Fire/Extreme temperature/Drought,2022,1050000.0,Lane County
41039,Fire/Extreme temperature/Drought,2023,1734187.56,Lane County
41039,Flooding/Tropical storm/Hurricane,2022,27109630.0,Lane County
41039,Flooding/Tropical storm/Hurricane,2023,200480.0,Lane County
41039,Infrastructure failure/Manmade disaster,2021,3549233.66,Lane County
41041,Infrastructure failure/Manmade disaster,2023,866580.75,Lincoln County
41047,Earthquake/Landslide,2020,54500.0,Marion County
41047,Earthquake/Landslide,2021,390376.34,Marion County
41047,Fire/Extreme temperature/Drought,2022,594999.0,Marion County
41047,Fire/Extreme temperature/Drought,2023,727746.5700000001,Marion County
41047,Flooding/Tropical storm/Hurricane,2023,13188320.0,Marion County
41047,Unidentified disaster,2021,93376.73,Marion County
41047,Unidentified disaster,2022,1995282.42,Marion County
41047,Unidentified disaster,2023,31511197.14,Marion County
41051,Earthquake/Landslide,2021,942957.0,Multnomah County
41051,Earthquake/Landslide,2023,3488714.21,Multnomah County
41051,Fire/Extreme temperature/Drought,2020,762500.0,Multnomah County
41051,Fire/Extreme temperature/Drought,2022,10924629.85,Multnomah County
41051,Flooding/Tropical storm/Hurricane,2022,312486.0,Multnomah County
41051,Flooding/Tropical storm/Hurricane,2023,5186409.25,Multnomah County
41059,Flooding/Tropical storm/Hurricane,2023,528376.0,Umatilla County
41061,Flooding/Tropical storm/Hurricane,2023,730000.0,Union County
41065,Earthquake/Landslide,2020,566088.4,Wasco County
41067,Earthquake/Landslide,2020,170000.0,Washington County
41067,Earthquake/Landslide,2022,6457377.0,Washington County
41067,Earthquake/Landslide,2023,43627911.8,Washington County
41067,Flooding/Tropical storm/Hurricane,2023,49949119.28,Washington County
42001,Flooding/Tropical storm/Hurricane,2022,105000.0,Adams County
42003,Earthquake/Landslide,2020,800000.0,Allegheny County
42003,Earthquake/Landslide,2022,1405760.0,Allegheny County
42003,Earthquake/Landslide,2023,795938.0,Allegheny County
42003,Flooding/Tropical storm/Hurricane,2020,47405846.0,Allegheny County
42003,Flooding/Tropical storm/Hurricane,2021,53496908.66,Allegheny County
42003,Flooding/Tropical storm/Hurricane,2022,8467729.15,Allegheny County
42003,Flooding/Tropical storm/Hurricane,2023,180000.0,Allegheny County
42003,Unidentified disaster,2023,2428195.43,Allegheny County
42007,Flooding/Tropical storm/Hurricane,2023,105000.0,Beaver County
42011,Flooding/Tropical storm/Hurricane,2020,97500.0,Berks County
42011,Flooding/Tropical storm/Hurricane,2023,125000.0,Berks County
42011,Infrastructure failure/Manmade disaster,2022,430000.0,Berks County
42013,Flooding/Tropical storm/Hurricane,2022,314996.36,Blair County
42017,Flooding/Tropical storm/Hurricane,2020,1135608.0,Bucks County
42017,Flooding/Tropical storm/Hurricane,2021,462540.12,Bucks County
42017,Flooding/Tropical storm/Hurricane,2022,813687.4,Bucks County
42017,Flooding/Tropical storm/Hurricane,2023,924294.32,Bucks County
42017,Infrastructure failure/Manmade disaster,2023,634294.32,Bucks County
42019,Blizzard/Winter storm,2023,105000.0,Butler County
42021,Flooding/Tropical storm/Hurricane,2023,97500.68,Cambria County
42023,Infrastructure failure/Manmade disaster,2023,73500.0,Cameron County
42025,Flooding/Tropical storm/Hurricane,2023,63000.0,Carbon County
42027,Flooding/Tropical storm/Hurricane,2020,266620.0,Centre County
42027,Flooding/Tropical storm/Hurricane,2021,266620.0,Centre County
42027,Flooding/Tropical storm/Hurricane,2022,52521.0,Centre County
42029,Flooding/Tropical storm/Hurricane,2020,2170088.0,Chester County
42029,Flooding/Tropical storm/Hurricane,2021,6879742.0,Chester County
42029,Tornado/Severe storm,2022,690400.0,Chester County
42035,Infrastructure failure/Manmade disaster,2020,45000.0,Clinton County
42037,Flooding/Tropical storm/Hurricane,2020,210550.0,Columbia County
42037,Flooding/Tropical storm/Hurricane,2021,112010.0,Columbia County
42037,Flooding/Tropical storm/Hurricane,2022,118900.01,Columbia County
42037,Tornado/Severe storm,2023,107138.5,Columbia County
42041,Flooding/Tropical storm/Hurricane,2022,83955.92,Cumberland County
42043,Earthquake/Landslide,2023,84000.0,Dauphin County
42043,Fire/Extreme temperature/Drought,2020,200000.0,Dauphin County
42043,Flooding/Tropical storm/Hurricane,2020,665000.0,Dauphin County
42043,Flooding/Tropical storm/Hurricane,2021,1059999.33,Dauphin County
42043,Flooding/Tropical storm/Hurricane,2023,339999.62,Dauphin County
42043,Infrastructure failure/Manmade disaster,2020,200000.0,Dauphin County
42043,Tornado/Severe storm,2022,68250.0,Dauphin County
42043,Unidentified disaster,2020,437290.23,Dauphin County
42043,Unidentified disaster,2021,3916145.68,Dauphin County
42043,Unidentified disaster,2022,165653.89,Dauphin County
42043,Unidentified disaster,2023,10860135.040000001,Dauphin County
42045,Flooding/Tropical storm/Hurricane,2020,6610000.0,Delaware County
42045,Flooding/Tropical storm/Hurricane,2021,6545000.0,Delaware County
42045,Tornado/Severe storm,2020,280500.0,Delaware County
42049,Blizzard/Winter storm,2023,225000.0,Erie County
42049,Flooding/Tropical storm/Hurricane,2020,50000.0,Erie County
42051,Infrastructure failure/Manmade disaster,2023,840060.0,Fayette County
42061,Earthquake/Landslide,2022,36750.0,Huntingdon County
42063,Flooding/Tropical storm/Hurricane,2020,45000.0,Indiana County
42065,Flooding/Tropical storm/Hurricane,2020,50000.0,Jefferson County
42069,Flooding/Tropical storm/Hurricane,2022,2104698.43,Lackawanna County
42069,Flooding/Tropical storm/Hurricane,2023,7128930.140000001,Lackawanna County
42069,Infrastructure failure/Manmade disaster,2021,2354576.0,Lackawanna County
42069,Infrastructure failure/Manmade disaster,2022,3676168.25,Lackawanna County
42069,Infrastructure failure/Manmade disaster,2023,3676168.25,Lackawanna County
42071,Flooding/Tropical storm/Hurricane,2021,4982591.2,Lancaster County
42071,Flooding/Tropical storm/Hurricane,2022,10420000.0,Lancaster County
42071,Infrastructure failure/Manmade disaster,2021,4500000.0,Lancaster County
42071,Tornado/Severe storm,2023,5771855.31,Lancaster County
42075,Flooding/Tropical storm/Hurricane,2020,1293700.0,Lebanon County
42075,Infrastructure failure/Manmade disaster,2020,55000.0,Lebanon County
42077,Flooding/Tropical storm/Hurricane,2022,133333.0,Lehigh County
42079,Flooding/Tropical storm/Hurricane,2020,301000.0,Luzerne County
42079,Flooding/Tropical storm/Hurricane,2021,51535000.0,Luzerne County
42079,Flooding/Tropical storm/Hurricane,2022,105000.0,Luzerne County
42079,Flooding/Tropical storm/Hurricane,2023,247400.0,Luzerne County
42079,Infrastructure failure/Manmade disaster,2020,9877000.0,Luzerne County
42079,Infrastructure failure/Manmade disaster,2021,10320000.0,Luzerne County
42079,Infrastructure failure/Manmade disaster,2022,2508572.0,Luzerne County
42081,Flooding/Tropical storm/Hurricane,2020,25000.0,Lycoming County
42081,Flooding/Tropical storm/Hurricane,2021,1200000.0,Lycoming County
42081,Flooding/Tropical storm/Hurricane,2022,857500.0,Lycoming County
42081,Infrastructure failure/Manmade disaster,2020,9160000.0,Lycoming County
42081,Infrastructure failure/Manmade disaster,2023,200000.0,Lycoming County
42085,Blizzard/Winter storm,2020,50000.0,Mercer County
42085,Tornado/Severe storm,2022,12573.75,Mercer County
42089,Flooding/Tropical storm/Hurricane,2020,685500.0,Monroe County
42089,Flooding/Tropical storm/Hurricane,2021,82000.0,Monroe County
42089,Flooding/Tropical storm/Hurricane,2022,48000.0,Monroe County
42089,Infrastructure failure/Manmade disaster,2023,63500.0,Monroe County
42091,Fire/Extreme temperature/Drought,2022,67759.65,Montgomery County
42091,Flooding/Tropical storm/Hurricane,2020,48644.0,Montgomery County
42091,Flooding/Tropical storm/Hurricane,2022,6144040.62,Montgomery County
42091,Flooding/Tropical storm/Hurricane,2023,2204230.0,Montgomery County
42091,Infrastructure failure/Manmade disaster,2023,15665000.0,Montgomery County
42093,Flooding/Tropical storm/Hurricane,2021,371804.5,Montour County
42095,Flooding/Tropical storm/Hurricane,2020,7314854.0,Northampton County
42095,Flooding/Tropical storm/Hurricane,2021,5312750.0,Northampton County
42095,Flooding/Tropical storm/Hurricane,2022,4579050.0,Northampton County
42095,Flooding/Tropical storm/Hurricane,2023,3116633.0,Northampton County
42095,Infrastructure failure/Manmade disaster,2020,636781.25,Northampton County
42097,Flooding/Tropical storm/Hurricane,2020,132677.0,Northumberland County
42097,Flooding/Tropical storm/Hurricane,2022,3100000.0,Northumberland County
42097,Flooding/Tropical storm/Hurricane,2023,8176565.14,Northumberland County
42097,Infrastructure failure/Manmade disaster,2021,790000.0,Northumberland County
42097,Infrastructure failure/Manmade disaster,2022,770132.56,Northumberland County
42097,Tornado/Severe storm,2020,790000.0,Northumberland County
42099,Unidentified disaster,2022,35214.9,Perry County
42101,Flooding/Tropical storm/Hurricane,2020,62000000.0,Philadelphia County
42101,Flooding/Tropical storm/Hurricane,2021,40345172.0,Philadelphia County
42101,Flooding/Tropical storm/Hurricane,2022,8737668.4,Philadelphia County
42101,Flooding/Tropical storm/Hurricane,2023,16507395.92,Philadelphia County
42101,Infrastructure failure/Manmade disaster,2022,113397708.0,Philadelphia County
42101,Infrastructure failure/Manmade disaster,2023,66813184.0,Philadelphia County
42103,Tornado/Severe storm,2023,51224.0,Pike County
42105,Flooding/Tropical storm/Hurricane,2023,3499.98,Potter County
42107,Flooding/Tropical storm/Hurricane,2020,2150693.4,Schuylkill County
42107,Flooding/Tropical storm/Hurricane,2021,2282942.55,Schuylkill County
42107,Flooding/Tropical storm/Hurricane,2022,262500.0,Schuylkill County
42109,Flooding/Tropical storm/Hurricane,2020,292400.0,Snyder County
42109,Flooding/Tropical storm/Hurricane,2022,131250.0,Snyder County
42111,Flooding/Tropical storm/Hurricane,2022,750400.0,Somerset County
42115,Flooding/Tropical storm/Hurricane,2020,45000.0,Susquehanna County
42117,Flooding/Tropical storm/Hurricane,2023,75600.0,Tioga County
42119,Flooding/Tropical storm/Hurricane,2023,106082.0,Union County
42121,Tornado/Severe storm,2022,105000.0,Venango County
42125,Earthquake/Landslide,2022,483656.25,Washington County
42125,Earthquake/Landslide,2023,465625.0,Washington County
42125,Flooding/Tropical storm/Hurricane,2023,105000.0,Washington County
42129,Flooding/Tropical storm/Hurricane,2020,276000.0,Westmoreland County
42129,Flooding/Tropical storm/Hurricane,2021,325700.0,Westmoreland County
42129,Unidentified disaster,2023,420000.0,Westmoreland County
42131,Flooding/Tropical storm/Hurricane,2023,494005.0,Wyoming County
42131,Infrastructure failure/Manmade disaster,2022,105000.0,Wyoming County
42131,Tornado/Severe storm,2023,200000.0,Wyoming County
42133,Fire/Extreme temperature/Drought,2023,107200.0,York County
42133,Flooding/Tropical storm/Hurricane,2020,658501.0,York County
42133,Flooding/Tropical storm/Hurricane,2022,6821850.0,York County
44001,Flooding/Tropical storm/Hurricane,2020,49100.0,Bristol County
44001,Flooding/Tropical storm/Hurricane,2023,279048.5,Bristol County
44003,Flooding/Tropical storm/Hurricane,2021,50000.0,Kent County
44003,Infrastructure failure/Manmade disaster,2021,445540.0,Kent County
44003,Tornado/Severe storm,2020,42972.0,Kent County
44005,Flooding/Tropical storm/Hurricane,2020,181000.0,Newport County
44005,Flooding/Tropical storm/Hurricane,2022,78713.93,Newport County
44005,Infrastructure failure/Manmade disaster,2023,42098365.0,Newport County
44007,Fire/Extreme temperature/Drought,2023,2000000.0,Providence County
44007,Flooding/Tropical storm/Hurricane,2020,706414.45,Providence County
44007,Flooding/Tropical storm/Hurricane,2023,2048496.38,Providence County
44007,Infrastructure failure/Manmade disaster,2023,3040966.16,Providence County
44007,Tornado/Severe storm,2021,38500.0,Providence County
44007,Tornado/Severe storm,2023,50000.0,Providence County
44007,Unidentified disaster,2020,57949.32,Providence County
44007,Unidentified disaster,2021,88678.0,Providence County
44007,Unidentified disaster,2022,100448.09,Providence County
44007,Unidentified disaster,2023,859064.48,Providence County
44009,Flooding/Tropical storm/Hurricane,2020,4687353.54,Washington County
44009,Flooding/Tropical storm/Hurricane,2021,225000.0,Washington County
44009,Flooding/Tropical storm/Hurricane,2022,672766.95,Washington County
44009,Flooding/Tropical storm/Hurricane,2023,397317.96,Washington County
44009,Tornado/Severe storm,2020,166063.11,Washington County
44009,Tornado/Severe storm,2021,166500.0,Washington County
44009,Unidentified disaster,2023,142331.2,Washington County
45001,Blizzard/Winter storm,2020,775690.0,Abbeville County
45003,Infrastructure failure/Manmade disaster,2022,11758982.0,Aiken County
45007,Flooding/Tropical storm/Hurricane,2020,105000.0,Anderson County
45007,Flooding/Tropical storm/Hurricane,2023,218000.0,Anderson County
45007,Infrastructure failure/Manmade disaster,2023,900000.0,Anderson County
45013,Flooding/Tropical storm/Hurricane,2020,374999.0,Beaufort County
45013,Flooding/Tropical storm/Hurricane,2021,3421433.45,Beaufort County
45013,Flooding/Tropical storm/Hurricane,2022,430400.0,Beaufort County
45013,Flooding/Tropical storm/Hurricane,2023,529500.0,Beaufort County
45015,Flooding/Tropical storm/Hurricane,2020,174927.14,Berkeley County
45019,Flooding/Tropical storm/Hurricane,2020,19388050.13,Charleston County
45019,Flooding/Tropical storm/Hurricane,2021,52006298.0,Charleston County
45019,Flooding/Tropical storm/Hurricane,2022,38507370.0,Charleston County
45019,Flooding/Tropical storm/Hurricane,2023,18377132.0,Charleston County
45019,Tornado/Severe storm,2021,157500.0,Charleston County
45021,Flooding/Tropical storm/Hurricane,2020,450000.0,Cherokee County
45027,Flooding/Tropical storm/Hurricane,2020,71500.0,Clarendon County
45029,Flooding/Tropical storm/Hurricane,2021,105000.0,Colleton County
45033,Flooding/Tropical storm/Hurricane,2021,1368896.0,Dillon County
45035,Infrastructure failure/Manmade disaster,2023,269056.88,Dorchester County
45041,Infrastructure failure/Manmade disaster,2022,144900.0,Florence County
45043,Flooding/Tropical storm/Hurricane,2020,966561.89,Georgetown County
45043,Flooding/Tropical storm/Hurricane,2021,214393.0,Georgetown County
45043,Flooding/Tropical storm/Hurricane,2022,402555.56,Georgetown County
45043,Flooding/Tropical storm/Hurricane,2023,402522.25,Georgetown County
45043,Infrastructure failure/Manmade disaster,2020,181137.73,Georgetown County
45045,Flooding/Tropical storm/Hurricane,2020,2494702.94,Greenville County
45045,Flooding/Tropical storm/Hurricane,2021,2677151.3600000003,Greenville County
45045,Infrastructure failure/Manmade disaster,2023,19509903.26,Greenville County
45047,Flooding/Tropical storm/Hurricane,2023,350000.0,Greenwood County
45049,Flooding/Tropical storm/Hurricane,2023,86984.53,Hampton County
45051,Flooding/Tropical storm/Hurricane,2020,9015766.5,Horry County
45051,Flooding/Tropical storm/Hurricane,2021,1293075.0,Horry County
45051,Flooding/Tropical storm/Hurricane,2022,872833.17,Horry County
45051,Flooding/Tropical storm/Hurricane,2023,28482.0,Horry County
45051,Tornado/Severe storm,2021,5000000.0,Horry County
45051,Tornado/Severe storm,2023,1301879.04,Horry County
45053,Flooding/Tropical storm/Hurricane,2022,1250000.0,Jasper County
45063,Flooding/Tropical storm/Hurricane,2020,269488.0,Lexington County
45063,Tornado/Severe storm,2023,547858.74,Lexington County
45063,Unidentified disaster,2020,4729743.34,Lexington County
45063,Unidentified disaster,2021,255630.2,Lexington County
45063,Unidentified disaster,2022,196995.22,Lexington County
45063,Unidentified disaster,2023,5452179.13,Lexington County
45067,Flooding/Tropical storm/Hurricane,2020,863929.0,Marion County
45069,Flooding/Tropical storm/Hurricane,2020,225000.0,Marlboro County
45073,Infrastructure failure/Manmade disaster,2021,133500.0,Oconee County
45073,Infrastructure failure/Manmade disaster,2023,8185338.87,Oconee County
45077,Flooding/Tropical storm/Hurricane,2020,864999.64,Pickens County
45079,Flooding/Tropical storm/Hurricane,2022,27579504.0,Richland County
45079,Flooding/Tropical storm/Hurricane,2023,2380124.31,Richland County
45079,Infrastructure failure/Manmade disaster,2020,81673187.35,Richland County
45079,Tornado/Severe storm,2020,3338000.0,Richland County
45079,Tornado/Severe storm,2022,144313.0,Richland County
45079,Unidentified disaster,2020,255418.42,Richland County
45079,Unidentified disaster,2021,42207.4,Richland County
45079,Unidentified disaster,2022,111960.54,Richland County
45079,Unidentified disaster,2023,148299.6,Richland County
45083,Blizzard/Winter storm,2020,331018.0,Spartanburg County
45083,Flooding/Tropical storm/Hurricane,2020,276000.0,Spartanburg County
45083,Infrastructure failure/Manmade disaster,2023,51476.25,Spartanburg County
45085,Flooding/Tropical storm/Hurricane,2022,80650.0,Sumter County
45091,Infrastructure failure/Manmade disaster,2022,7747651.0,York County
45091,Infrastructure failure/Manmade disaster,2023,7347651.0,York County
46011,Tornado/Severe storm,2022,18900.0,Brookings County
46015,Flooding/Tropical storm/Hurricane,2020,449897.96,Brule County
46015,Flooding/Tropical storm/Hurricane,2021,58500.0,Brule County
46023,Blizzard/Winter storm,2023,55037.85,Charles Mix County
46023,Unidentified disaster,2023,14400.0,Charles Mix County
46025,Flooding/Tropical storm/Hurricane,2021,19500.0,Clark County
46027,Unidentified disaster,2021,15000.0,Clay County
46029,Flooding/Tropical storm/Hurricane,2020,17650.0,Codington County
46033,Fire/Extreme temperature/Drought,2021,16000.0,Custer County
46033,Flooding/Tropical storm/Hurricane,2023,954055.0,Custer County
46035,Blizzard/Winter storm,2021,422940.73,Davison County
46037,Flooding/Tropical storm/Hurricane,2023,63211.75,Day County
46043,Blizzard/Winter storm,2021,273638.04,Douglas County
46047,Fire/Extreme temperature/Drought,2023,14000.0,Fall River County
46049,Blizzard/Winter storm,2023,16200.0,Faulk County
46051,Flooding/Tropical storm/Hurricane,2022,284348.75,Grant County
46051,Tornado/Severe storm,2023,20850.0,Grant County
46053,Flooding/Tropical storm/Hurricane,2023,14400.0,Gregory County
46057,Tornado/Severe storm,2022,16900.0,Hamlin County
46059,Flooding/Tropical storm/Hurricane,2023,16200.0,Hand County
46061,Flooding/Tropical storm/Hurricane,2020,461975.0,Hanson County
46063,Blizzard/Winter storm,2021,10000.0,Harding County
46065,Flooding/Tropical storm/Hurricane,2023,5000.0,Hughes County
46065,Unidentified disaster,2020,100600.88,Hughes County
46065,Unidentified disaster,2021,83433.09,Hughes County
46065,Unidentified disaster,2022,70062.86,Hughes County
46065,Unidentified disaster,2023,1899386.83,Hughes County
46067,Flooding/Tropical storm/Hurricane,2023,14305076.0,Hutchinson County
46067,Unidentified disaster,2023,14400.0,Hutchinson County
46073,Unidentified disaster,2023,14400.0,Jerauld County
46077,Flooding/Tropical storm/Hurricane,2020,12673.0,Kingsbury County
46077,Tornado/Severe storm,2022,19200.0,Kingsbury County
46079,Flooding/Tropical storm/Hurricane,2020,18050.0,Lake County
46079,Infrastructure failure/Manmade disaster,2023,195583.5,Lake County
46081,Flooding/Tropical storm/Hurricane,2023,129700.0,Lawrence County
46083,Flooding/Tropical storm/Hurricane,2020,29700.0,Lincoln County
46085,Blizzard/Winter storm,2023,14400.0,Lyman County
46089,Blizzard/Winter storm,2022,16200.0,McPherson County
46091,Blizzard/Winter storm,2022,16200.0,Marshall County
46093,Flooding/Tropical storm/Hurricane,2023,22000.0,Meade County
46097,Fire/Extreme temperature/Drought,2021,17425.0,Miner County
46099,Flooding/Tropical storm/Hurricane,2020,1187842.56,Minnehaha County
46099,Flooding/Tropical storm/Hurricane,2022,882883.17,Minnehaha County
46099,Unidentified disaster,2021,30000.0,Minnehaha County
46101,Flooding/Tropical storm/Hurricane,2022,172200.0,Moody County
46101,Tornado/Severe storm,2023,18900.0,Moody County
46101,Unidentified disaster,2022,17220.0,Moody County
46102,Flooding/Tropical storm/Hurricane,2023,327777.78,Oglala Lakota County
46102,Infrastructure failure/Manmade disaster,2021,572681.0,Oglala Lakota County
46102,Infrastructure failure/Manmade disaster,2023,1894444.0,Oglala Lakota County
46103,Blizzard/Winter storm,2022,1342292.22,Pennington County
46103,Fire/Extreme temperature/Drought,2023,2616610.0,Pennington County
46103,Flooding/Tropical storm/Hurricane,2021,70000.0,Pennington County
46103,Flooding/Tropical storm/Hurricane,2023,167200.0,Pennington County
46105,Fire/Extreme temperature/Drought,2023,14000.0,Perkins County
46107,Tornado/Severe storm,2023,16200.0,Potter County
46109,Blizzard/Winter storm,2022,19883.0,Roberts County
46109,Fire/Extreme temperature/Drought,2021,19080.0,Roberts County
46109,Flooding/Tropical storm/Hurricane,2020,169223.03,Roberts County
46109,Flooding/Tropical storm/Hurricane,2022,2145825.15,Roberts County
