county,Hazard,totalSubapplicationAmount,Hazard_color
20087,Severe storm,175455.0,FFFF00
20099,Drought,5040234.0,CC5500
20103,Flooding,640500.0,00AAFF
20103,Infrastructure failure,40000000.0,884DFF
20115,Tornado,1229133.0,4F666A
20127,Tornado,1229133.0,4F666A
20133,Drought,5040234.0,CC5500
20139,Tornado,160000.0,4F666A
20149,Flooding,452196.0,00AAFF
20157,Severe storm,794425.0,FFFF00
20161,Flooding,452196.0,00AAFF
20167,Severe storm,2855509.53,FFFF00
20173,Flooding,86817624.0,00AAFF
20173,Tornado,229000.0,4F666A
20191,Flooding,3080124.0,00AAFF
20197,Tornado,160000.0,4F666A
20205,Tornado,2000000.0,4F666A
20209,Flooding,1838735.25,00AAFF
20209,Infrastructure failure,40000000.0,884DFF
21005,Flooding,13372118.53,00AAFF
21005,Infrastructure failure,284300.0,884DFF
21011,Dam/Levee break,85000.0,00AAFF
21011,Flooding,6337000.0,00AAFF
21011,Severe storm,445000.0,FFFF00
21017,Dam/Levee break,85000.0,00AAFF
21017,Flooding,395000.0,00AAFF
21019,Flooding,126262.0,00AAFF
21019,Infrastructure failure,12867000.0,884DFF
21023,Flooding,300000.0,00AAFF
21023,Infrastructure failure,7087437.5,884DFF
21029,Severe storm,247830.0,FFFF00
21043,Flooding,5817000.0,00AAFF
21043,Severe storm,445000.0,FFFF00
21043,Winter storm,117500.0,A0E6FF
21049,Dam/Levee break,85000.0,00AAFF
21049,Flooding,436850.0,00AAFF
21059,Landslide/Debris flow,25707000.0,644117
21063,Flooding,5817000.0,00AAFF
21063,Severe storm,445000.0,FFFF00
21065,Flooding,420000.0,00AAFF
21067,Flooding,591850.0,00AAFF
21069,Flooding,5817000.0,00AAFF
21069,Severe storm,475000.0,FFFF00
21071,Flooding,200000.0,00AAFF
21071,Infrastructure failure,12867000.0,884DFF
21073,Flooding,13372118.53,00AAFF
21073,Infrastructure failure,284300.0,884DFF
21075,Flooding,136500.0,00AAFF
21083,Flooding,136500.0,00AAFF
21089,Flooding,8556500.0,00AAFF
21089,Winter storm,117500.0,A0E6FF
