county,Hazard,totalSubapplicationAmount,Hazard_color
34019,Infrastructure failure,31599633.29,884DFF
34019,Severe storm,670415.0,FFFF00
34021,Flooding,102736332.75999999,00AAFF
34021,Severe storm,420000.0,FFFF00
34021,Tropical cyclone (Hurricane/Typhoon),243005239.0,00AAFF
34023,Flooding,42499155.34,00AAFF
34023,Infrastructure failure,586400.0,884DFF
34025,Flooding,114386481.53999999,00AAFF
34025,Infrastructure failure,26370182.5,884DFF
34027,Flooding,7728105.29,00AAFF
34027,Severe storm,1985000.0,FFFF00
34029,Flooding,62682649.29,00AAFF
34029,Infrastructure failure,23034266.5,884DFF
34029,Severe storm,2749720.0,FFFF00
34033,Flooding,17087799.96,00AAFF
34033,Severe storm,366685.79000000004,FFFF00
34035,Flooding,48579797.33,00AAFF
34035,Infrastructure failure,115560.0,884DFF
34035,Severe storm,670415.0,FFFF00
34037,Infrastructure failure,139200.0,884DFF
34037,Severe storm,2224239.0,FFFF00
34039,Flooding,4587175.98,00AAFF
34039,Infrastructure failure,701960.0,884DFF
35001,Flooding,1479189.0899999999,00AAFF
35001,Infrastructure failure,300000.0,884DFF
35006,Flooding,960750.0,00AAFF
35006,Infrastructure failure,687500.0,884DFF
35013,Flooding,21628937.34,00AAFF
35027,Fire,73500.0,FF1919
35039,Earthquake,338887.5,FFFFFF
35039,Flooding,1998192.38,00AAFF
35043,Drought,260177.98,CC5500
35043,Flooding,789811.12,00AAFF
35049,Drought,557273.64,CC5500
35049,Earthquake,338887.5,FFFFFF
35049,Extreme temperature,1208188.44,CC5500
