,date,EUR_USD_exrate,France_cpi,Germany_cpi,Belgium_cpi,Italy_cpi,Poland_cpi,Spain_cpi,The Netherlands_cpi,Ireland_cpi,Austria_cpi,France_cpi_ma,Germany_cpi_ma,Belgium_cpi_ma,Italy_cpi_ma,Poland_cpi_ma,Spain_cpi_ma,The Netherlands_cpi_ma,Ireland_cpi_ma,Austria_cpi_ma
89,2006-06-01,0.7898525488900776,0.0,0.21321961620469,-0.0116808784020457,0.0770416024653435,-0.3,0.1513827522122749,-0.359837492745211,0.2617801047120276,0.0984251968504106,0.16184211121319902,0.1526425500708545,0.15466754672799513,0.18839911686992972,0.09166666666666669,0.32446311017796886,0.11251873281606461,0.3231458135669429,0.12414250642073167
90,2006-07-01,0.7886031078848482,-0.167317345231462,0.4255319148936289,0.338785046728966,0.307929176289451,0.0,-0.594784574925646,-0.186393289841558,0.2610966057441256,-0.0983284169125046,0.16021940549444386,0.151989422357493,0.13331416844705965,0.18125148261058524,0.10833333333333335,0.3258872883162435,0.10977619872557061,0.34490386404562007,0.12426517161148957
91,2006-08-01,0.7806109808207276,0.335195530726257,-0.211864406779674,0.128070788217494,0.153491941673048,0.3,0.203980714550629,0.525210084033594,0.6510416666666672,0.2952755905511889,0.15588205507470645,0.125344483029487,0.13511414451869455,0.1809705823251705,0.1416666666666667,0.30625564456542614,0.11511400252392394,0.36523603368982327,0.14887147082408866
92,2006-09-01,0.7860337522893234,-0.222717149220503,-0.3184713375796239,-0.2906976744186,-0.0766283524904208,0.2,-0.164086114366808,0.383141762452104,0.3880983182406069,-0.196270853778205,0.10517646403365936,0.08982531984037874,0.10202618539821397,0.1745848862843021,0.12500000000000003,0.24139621556258314,0.0715167451262557,0.33000999264230624,0.11586554969255565
93,2006-10-01,0.7925694724884039,-0.223214285714261,0.106496272630464,-0.198250728862984,-0.0766871165644037,0.1,0.4102716195843039,-0.2544529262086489,0.0,-0.0983284169125046,0.08845893841582018,0.08972979035291083,0.10026151845414698,0.14861715932967268,0.09999999999999999,0.20786068984522466,0.05711664270793935,0.31883930452791837,0.0993631068408392
94,2006-11-01,0.7759356490701704,0.1118568232662069,0.0,0.245384435615821,0.0767459708365176,0.0,0.247372437049248,-0.1623376623376569,0.2577319587629012,0.0984251968504106,0.11473715699495934,0.11661151078301774,0.12366670202761892,0.14850224023271588,0.11666666666666668,0.21585931009765094,0.06499094794974426,0.3626284358527608,0.13246560498474858
95,2006-12-01,0.7573003756209864,0.2346368715083789,0.7446808510638341,0.1398764424757959,0.0766871165644165,-0.2,0.273770793689762,-0.360046457607419,0.5141388174807202,0.294985250737442,0.12390660176987983,0.11574124369709383,0.13630891552428606,0.1548928332797506,0.11666666666666668,0.22072327459585758,0.07985286924150993,0.4054733373094874,0.12374767591283457
96,2007-01-01,0.7696451935657662,-0.345557908817287,0.0,0.046560353858688,0.0766283524904336,0.4,-0.6721516197752011,0.1165637020631649,-0.255754475703325,0.0,0.10359523211988182,0.14250783898617467,0.13821702515133272,0.14176252619805974,0.13333333333333333,0.19854382420760863,0.11898519782993051,0.41771751131407625,0.13203954987635055
97,2007-02-01,0.7645136888187861,0.1901565995525519,0.4223864836325089,0.5351948807446231,0.3062787136294,0.3,0.0677932675122261,0.4540691582256389,0.8974358974358982,0.294117647058831,0.08735403519697665,0.1419029174199235,0.1463447114715669,0.14781534734941956,0.15833333333333335,0.20019666238110123,0.1243490935929476,0.391425668984498,0.13164895539154345
98,2007-03-01,0.7549500703476203,0.4242491905772179,0.2103049421661539,0.0115727346371977,0.152671755725177,0.5,0.7587702010248258,1.08947612424663,0.6353240152477769,0.488758553274681,0.09920482514580065,0.15942832926710301,0.15025339998297516,0.14111297423483174,0.20833333333333334,0.20445334756590913,0.14946022299165126,0.4110803888525704,0.14755261834649305
99,2007-04-01,0.7400333367398361,0.489160644802664,0.524658971668408,0.4512844249016529,0.152439024390255,0.5,1.38141809290955,0.4815409309791439,0.8838383838383845,0.486381322957197,0.10434365751962381,0.17641194232503252,0.14760752932798274,0.12797643298569839,0.19166666666666668,0.2020344967682516,0.15165679450415434,0.41842059015829025,0.14683026984705164
