county,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio
01015,36202,0.027561584,0.091618497,0.001450326,0.032974482
01015,36254,0.000000000,0.000144509,0.000000000,0.000013291
01015,36250,0.030429781,0.024855491,0.032632342,0.029957469
01015,36272,0.073079279,0.063294798,0.053662074,0.071823498
01015,36257,0.006035165,0.005057803,0.000725163,0.005847953
01015,36204,0.010830433,0.013872832,0.000725163,0.010925040
01015,36271,0.048863925,0.013728324,0.010877447,0.044936204
01015,36277,0.039587099,0.006936416,0.015953590,0.036150984
01015,36253,0.000000000,0.000289017,0.000000000,0.000026582
01015,36265,0.160066327,0.079479769,0.221899927,0.153787879
01015,36205,0.014774204,0.012716763,0.048585932,0.015204678
01017,36863,0.364443069,0.380450070,0.418478261,0.366457280
01017,36274,0.016199763,0.014767932,0.008152174,0.015963727
01017,36854,0.335293814,0.363572433,0.228260870,0.335332735
01017,36850,0.009183305,0.005625879,0.005434783,0.008879233
01017,36855,0.048496105,0.018284107,0.027173913,0.046096444
01017,36852,0.016096579,0.014767932,0.005434783,0.015822038
01017,36801,0.006964866,0.000000000,0.002717391,0.006423275
01017,36276,0.009957179,0.004922644,0.000000000,0.009445993
01017,36862,0.177062374,0.191983122,0.296195652,0.180135078
01017,36879,0.016302946,0.005625879,0.008152174,0.015444198
01019,35967,0.012281069,0.005586592,0.000000000,0.011752484
01019,35961,0.020445189,0.011173184,0.000000000,0.019674047
01019,35973,0.110250506,0.026815642,0.022857143,0.104408805
01019,36272,0.103900635,0.036871508,0.034285714,0.099214337
01019,35901,0.002930710,0.003351955,0.000000000,0.002921888
01019,35960,0.394110669,0.724022346,0.582857143,0.415427570
01019,35984,0.011583281,0.000000000,0.011428571,0.010908383
01019,36275,0.000000000,0.001117318,0.000000000,0.000064931
01019,35983,0.144023446,0.107262570,0.125714286,0.141679112
01019,35959,0.198241574,0.082681564,0.222857143,0.191805727
01019,35903,0.002232922,0.001117318,0.000000000,0.002142718
01021,36792,0.010941016,0.004354136,0.000000000,0.010485036
01021,36790,0.005470508,0.000725689,0.000000000,0.005159959
01021,35085,0.190761901,0.097242380,0.094444444,0.184726522
01021,36758,0.010896899,0.005805515,0.000000000,0.010526316
01021,35046,0.131821591,0.062409289,0.038888889,0.127182663
01021,36006,0.008691049,0.005079826,0.022222222,0.008586171
01021,35045,0.327656946,0.686502177,0.577777778,0.349927761
01021,35115,0.055940354,0.004354136,0.050000000,0.052961816
01021,36091,0.086513434,0.038461538,0.050000000,0.083508772
01021,35040,0.021705563,0.005079826,0.033333333,0.020846233
01021,36793,0.007367539,0.007256894,0.011111111,0.007389061
01021,36051,0.010808665,0.002902758,0.000000000,0.010278638
01021,36750,0.063616712,0.041364296,0.066666667,0.062373581
01021,35171,0.067807826,0.038461538,0.055555556,0.066047472
01023,36921,0.087889273,0.032327586,0.000000000,0.084185986
01023,36912,0.144359862,0.012931034,0.000000000,0.135863230
01023,36913,0.003598616,0.006465517,0.000000000,0.003755990
01023,36919,0.145051903,0.081896552,0.000000000,0.140655356
01023,36916,0.043321799,0.034482759,0.000000000,0.042611061
01023,36922,0.048719723,0.006465517,0.000000000,0.045978500
01023,36904,0.314878893,0.689655172,0.875000000,0.339722834
01023,36915,0.054394464,0.015086207,0.062500000,0.052065795
01023,36908,0.150865052,0.116379310,0.062500000,0.148426370
01023,36910,0.005121107,0.004310345,0.000000000,0.005051159
01023,36558,0.001799308,0.000000000,0.000000000,0.001683720
01025,36524,0.047819972,0.020764120,0.014234875,0.045018007
01025,36545,0.365608113,0.435215947,0.384341637,0.371548619
01025,36540,0.036642239,0.004983389,0.000000000,0.033413365
01025,36782,0.000074025,0.000000000,0.000000000,0.000066693
01025,36446,0.000000000,0.000830565,0.000000000,0.000066693
01025,36482,0.046265453,0.009966777,0.007117438,0.042617047
01025,36436,0.020504849,0.005813953,0.003558719,0.019007603
01025,36451,0.184617662,0.120431894,0.241992883,0.180538882
01025,36751,0.005921978,0.000830565,0.000000000,0.005402161
01025,36727,0.008808942,0.000000000,0.007117438,0.008069895
01025,36784,0.283736768,0.401162791,0.341637011,0.294251034
01027,36255,0.071654373,0.028901734,0.000000000,0.068479555
01027,36267,0.000000000,0.002890173,0.000000000,0.000099246
01027,35160,0.047734457,0.005780347,0.004166667,0.045256054
01027,36256,0.004004215,0.002890173,0.000000000,0.003870584
01027,35082,0.000000000,0.002890173,0.000000000,0.000099246
01027,36251,0.356691254,0.401734104,0.766666667,0.368003176
01027,36266,0.317070601,0.364161850,0.212500000,0.316196904
01027,35089,0.002318230,0.008670520,0.000000000,0.002481143
