,name,iso3,year,pop_t,pop_u,pop_r,wat_pop_sm_t,wat_pop_sm_r,wat_pop_sm_u,wat_pop_basal_sub_t,wat_pop_basal_sub_r,wat_pop_basal_sub_u,wat_pop_unimp_t,wat_pop_unimp_r,wat_pop_unimp_u,wat_pop_ns_t,wat_pop_ns_r,wat_pop_ns_u
689,British Virgin Islands,VGB,2022,31.305,1544.306995124817,-1513.0019951248169,,,,,,,4.24547260273845,,,0.0,,
712,Brunei Darussalam,BRN,2022,449.002,35405.60203630066,-34956.60003630066,,,,,,,0.0,,,44.87722719490114,,
735,Bulgaria,BGR,2022,6781.953,517890.21815986634,-511108.26515986637,648723.1796382363,,,23114.26179174278,,,6357.85857002097,-1377806.001781138,203645.54649722134,0.0,-0.0,0.0
758,Burkina Faso,BFA,2022,22673.762,722771.4863638611,-700097.7243638611,,,,,,,473964.6575129106,-19946975.359727077,3388047.3086018255,2562.7057020805073,-0.0,256270.5709132343
781,Burundi,BDI,2022,12889.576,185829.01483184812,-172939.43883184812,,,,,,,188802.0170263487,-2922114.8750046515,240913.61643637487,45956.34044051723,-720465.7399746105,0.0
804,Cabo Verde,CPV,2022,593.149,40064.25264427948,-39471.10364427948,,,,,,,1604.2959765597068,-328941.3391072621,0.0,0.0,-0.0,0.0
827,Cambodia,KHM,2022,16767.842,421107.5573788758,-404339.7153788758,488468.69308280846,-7932117.3794825645,24213684.54928536,819532.0439825439,-21489438.5439126,15217769.926738728,53250.01158521052,-1714701.4626843734,0.0,122023.80744064353,-3929281.5687007396,0.0
850,Cameroon,CMR,2022,27914.536,1639504.490593506,-1611589.954593506,,,,,,,333930.8755428125,-37457734.657102324,6618665.075908398,117606.92980333409,-14063088.382406496,1708530.7464924026
873,Canada,CAN,2022,38454.327,3143718.0986568145,-3105263.7716568145,3808506.1359261908,,,7016.185361281062,,,29910.378712528072,-2917408.0468123783,2331765.935352228,0.0,-0.0,0.0
896,Cayman Islands,CYM,2022,68.706,6870.6,-6801.894,,,,,,,308.6374682208581,,30863.74682208581,0.68706,,68.706
919,Central African Republic,CAF,2022,5579.144,240572.68332083136,-234993.53932083136,34180.31684893946,-526280.4878169766,2707328.103106519,168314.9577783793,-5906190.37839204,8855614.325021248,187869.12792482603,-11022880.900989907,3901312.4328689664,18947.84655038418,-1392972.5316605226,13676.325794940663
942,Chad,TCD,2022,17723.315,426476.12397714617,-408752.80897714617,110718.41024320331,-1084740.4125882576,7500235.712321881,810808.0562556189,-16818304.08204952,25705027.49883363,501486.5085876644,-14189245.087650055,3429285.193212912,127030.57483198469,-3766827.2062238357,300440.2635233248
965,Chile,CHL,2022,19603.733,1723403.2761850967,-1703799.5431850967,1936287.4538650992,,171343892.12758508,24085.81273646346,,996435.4909245849,0.03339843739095783,-0.0,0.0,0.0,-0.0,0.0
988,China,CHN,2022,1449780.731,92148054.19238165,-90698273.46138164,,,9018885211.377232,,,44880146.70785239,2576786.4056089763,-257879759.35767093,107468167.286981,138078.5751070709,-0.0,13807857.202384787
1011,"China, Hong Kong SAR",HKG,2022,7488.865,748886.5,-741397.635,748886.5,,74888650.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
1034,"China, Macao SAR",MAC,2022,695.168,69516.80530371092,-68821.63730371092,69516.8,,6951680.530371092,0.0,,0.0,0.0,,0.0,0.0,,0.0
1057,Colombia,COL,2022,51874.024,4256263.827506958,-4204389.803506957,3831210.241872089,-168913298.6709879,345712111.4105607,1228465.8813927341,-195427579.75307855,79565595.33617683,25957.69186796747,-11720705.176552251,0.0,91058.61149648215,-41115884.160024,0.0
1080,Comoros,COM,2022,836.774,24989.419004131316,-24152.645004131315,,,,,,,,,,,,
1103,Congo,COG,2022,5970.424,410383.0644284058,-404412.6404284058,,,,,,,,,,,,
1126,Cook Islands,COK,2022,17.011,1291.951524559021,-1274.940524559021,,,,,,,0.48293859349210894,,,0.0,,
1149,Costa Rica,CRI,2022,5180.829,425045.6113959503,-419864.7823959503,417095.99734956975,-34031950.99795167,34168502.852055945,100018.7554996106,-7806000.07487079,8272153.894281744,0.0,-0.0,0.0,0.0,-0.0,0.0
1172,Côte d'Ivoire,CIV,2022,28160.542,1482962.2824959946,-1454801.7404959947,1236026.8815441488,-39768866.267128356,87160914.88925976,815494.6699784034,-44678650.422967784,40608666.637509465,376358.30484631227,-31211083.053250257,9035890.719634188,155835.08906716452,-11287959.878732337,5239908.4590877555
1195,Croatia,HRV,2022,4030.358,234643.40416121678,-230613.04616121677,,,22654820.67176548,,,809519.7443561986,,,0.0,,,0.0
