date,value
2002-04,54.688554324533044
2002-05,46.74439106454165
2002-06,32.05652522418997
2002-07,15.565717941056677
2002-08,7.873425765351241
2002-09,-4.250234817
2002-10,-7.070333778
2002-11,-0.063505336
2002-12,-0.141310985
2003-01,11.225164507781502
2003-02,22.796464841290295
2003-03,32.57526417631492
2003-04,32.28749431908587
2003-05,31.534111777223792
2003-06,21.295509276327977
2003-07,11.422832251492425
2003-08,2.3532349072712586
2003-09,-1.748622576
2003-10,-8.915269099
2003-11,-6.479519918
2003-12,7.243702560262166
2004-01,17.62064520770821
2004-02,30.74491288732331
2004-03,30.45235694381093
2004-04,41.46313536164192
2004-05,35.26586957749857
2004-06,24.35744536998155
2004-07,16.66527308695341
2004-08,-0.296002779
2004-09,4.905914385081619
2004-10,-13.99416549
2004-11,-0.830064914
2004-12,8.946768579988797
2005-01,17.353982802679067
2005-02,31.31421250678172
2005-03,38.408962722204954
2005-04,36.51957551557278
2005-05,38.490872880248396
2005-06,18.734454176099135
2005-07,2.7274353250274292
2005-08,-6.273109086
2005-09,-8.667377864
2005-10,-8.349522981
2005-11,-8.811926441
2005-12,-0.220852082
2006-01,11.74314231194449
2006-02,24.342492247548556
2006-03,39.08326680212424
2006-04,43.21905365967799
2006-05,30.83355945241356
2006-06,20.626156491775536
2006-07,1.2247342867352042
2006-08,-5.555145509
2006-09,-12.45793723
2006-10,-17.25375892
2006-11,-3.59171196
2006-12,5.562530626147853
2007-01,23.32453636287575
2007-02,30.162974605613204
2007-03,36.109728866732084
2007-04,38.1078276
2007-05,32.33482181577235
2007-06,21.68209968242542
2007-07,5.643802038266869
2007-08,0.5747045073342355
2007-09,-10.45551772
2007-10,-18.54654767
2007-11,-14.44248559
2007-12,0.21299113753271634
2008-01,10.051724985456135
2008-02,26.055021827087927
2008-03,35.53267282716941
2008-04,38.24346580975915
2008-05,28.41293809445635
2008-06,14.125992754993732
2008-07,3.639175471756499
2008-08,-2.266432352
2008-09,-13.71100349
2008-10,-17.79862573
2008-11,-13.11189553
2008-12,-0.079075916
2009-01,13.738632243845851
2009-02,18.61016826696231
2009-03,33.044260105486416
2009-04,37.495647526374036
2009-05,30.17429889573415
2009-06,16.61387202136424
2009-07,2.9710523773619815
2009-08,-9.680051334
2009-09,-16.20444455
2009-10,-23.8694213
2009-11,-18.66477485
2009-12,-6.627027681
2010-01,13.687119007133859
2010-02,18.430477089341228
2010-03,23.911301407198973
2010-04,27.595204652345927
2010-05,26.399220177047273
2010-06,7.319798160091641
2010-07,-0.718991483
2010-08,-8.354461738
2010-09,-15.92449531
2010-10,-18.00076035
2010-11,-12.4761189
2010-12,0.7441552729365345
2011-01,12.571190196622354
2011-02,23.75162397438535
2011-03,37.578692385154376
2011-04,43.02580914998669
2011-05,35.46985312809146
2011-06,17.58169923991981
2011-07,3.184053518053726
2011-08,-6.251824215
2011-09,-16.63566413
2011-10,-19.22685651
2011-11,-18.59168521
2011-12,0.5605133644432874
2012-01,4.769182549387357
2012-02,12.128302758602592
2012-03,24.914409151289874
2012-04,26.429375050643294
2012-05,18.982479497106638
2012-06,2.236319363
2012-07,-10.82423157
2012-08,-21.31219328
2012-09,-24.16794646
2012-10,-26.55437171
2012-11,-21.83125601
2012-12,-18.76405503
2013-01,-3.998788869
2013-02,3.8691495900652555
2013-03,16.066027139340086
2013-04,25.18132482
2013-05,18.827204189948294
2013-06,7.646303245
2013-07,-7.57201469
2013-08,-16.19270626
2013-09,-21.04656567
2013-10,-22.77430581
2013-11,-18.53594761
2013-12,-10.79761449
2014-01,2.6181649819647115
2014-02,12.960399488964391
2014-03,28.03561255817401
2014-04,27.111283647694748
2014-05,25.989046175445228
2014-06,10.955363195767934
2014-07,-6.09285071
2014-08,-15.5517357
2014-09,-23.60833695
2014-10,-25.48623446
2014-11,-23.12266945
2014-12,-16.47370193
2015-01,-14.3605902
2015-02,-4.274815721
2015-03,8.475110296747575
2015-04,13.767545986570589
2015-05,14.65200382599195
2015-06,2.4153008136200547
2015-07,-3.265037822
2015-08,-29.70931447
2015-09,-40.32089617
2015-10,-43.18449818
2015-11,-36.16636484
2015-12,-27.21996696
2016-01,-15.31400157
2016-02,-2.224888736
2016-03,-2.720993373
2016-04,6.588553129474664
2016-05,1.1571957241521134
2016-06,-11.14012307
2016-07,-22.52809829
2016-08,-32.01797244
2016-09,-31.84384854
2016-10,-34.17364506
2016-11,-32.57203417
2016-12,-28.84573911
2017-01,-2.063428636
2017-02,10.087325972252566
2017-03,22.835162167477318
2017-04,16.700163210998635
2017-05,10.099219281884274
2017-06,17.870758062938936
2017-07,-9.241626286
2017-08,-24.13630716
2017-09,-31.07086425
2017-10,-33.83833907
2017-11,-29.21052319
2017-12,-21.71079284
2018-01,-9.150324715
2018-02,1.2779323349756055
2018-03,11.38582467381295
2018-04,16.78093061924412
2018-05,12.430627338396574
2018-06,-0.926742939
2018-07,-16.58192745
2018-08,-25.20628625
2018-09,-30.36269953
2018-10,-34.21185742
2018-11,-31.74498128
2018-12,-19.25065494
2019-01,-10.14885927
2019-02,4.018629240466543
2019-03,-0.404186292
2019-04,5.646011021513119
2019-05,3.1729532916293475
2019-06,-12.49649614
2019-07,-33.4836282
2019-08,-38.85941247
2019-09,-42.71701507
2019-10,-41.77267159
2019-11,-36.1807138
2019-12,-21.42604495
2020-01,-8.792859986
2020-02,6.667090429082914
2020-03,12.321467371402687
2020-04,15.178859207552488
2020-05,9.112710081
2020-06,-11.18339291
2020-07,-23.43873707
2020-08,-31.45736865
2020-09,-29.54722354
2020-10,-34.67490331
