,year,region_sdg,stat,amount
2017,2022,Central and Southern Asia,wat_pop_lim_r,-335258096.6837746
2018,2022,Eastern and South-Eastern Asia,wat_pop_lim_r,-122782117.45402095
2019,2022,Europe and Northern America,wat_pop_lim_r,-19558594.160897583
2020,2022,Latin America and the Caribbean,wat_pop_lim_r,-26796887.20459237
2021,2022,Northern Africa and Western Asia,wat_pop_lim_r,-189563407.13297033
2022,2022,Oceania,wat_pop_lim_r,-577025.1360602038
2023,2022,Sub-Saharan Africa,wat_pop_lim_r,-627691735.7579862
2200,2022,Australia and New Zealand,wat_pop_lim_u,0.0
2201,2022,Central and Southern Asia,wat_pop_lim_u,197077990.0742531
2202,2022,Eastern and South-Eastern Asia,wat_pop_lim_u,54220510.26092563
2203,2022,Europe and Northern America,wat_pop_lim_u,29578359.066467613
2204,2022,Latin America and the Caribbean,wat_pop_lim_u,11179472.560646059
2205,2022,Northern Africa and Western Asia,wat_pop_lim_u,107967265.27553189
2206,2022,Oceania,wat_pop_lim_u,133487.73771930396
2207,2022,Sub-Saharan Africa,wat_pop_lim_u,435250419.1889436
2384,2022,Australia and New Zealand,wat_pop_unimp_t,792.3538574224903
2385,2022,Central and Southern Asia,wat_pop_unimp_t,4482219.09534161
2386,2022,Eastern and South-Eastern Asia,wat_pop_unimp_t,5001404.345101372
2387,2022,Europe and Northern America,wat_pop_unimp_t,866357.4689674791
2388,2022,Latin America and the Caribbean,wat_pop_unimp_t,904519.9019762627
2389,2022,Northern Africa and Western Asia,wat_pop_unimp_t,1073967.699399543
2390,2022,Oceania,wat_pop_unimp_t,272254.39502279105
2391,2022,Sub-Saharan Africa,wat_pop_unimp_t,17151669.25078315
2568,2022,Australia and New Zealand,wat_pop_unimp_r,0.0
2569,2022,Central and Southern Asia,wat_pop_unimp_r,-182095982.43585038
2570,2022,Eastern and South-Eastern Asia,wat_pop_unimp_r,-487756337.0562274
2571,2022,Europe and Northern America,wat_pop_unimp_r,-128715770.27837224
2572,2022,Latin America and the Caribbean,wat_pop_unimp_r,-141794420.44333276
2573,2022,Northern Africa and Western Asia,wat_pop_unimp_r,-113005722.05949701
2574,2022,Oceania,wat_pop_unimp_r,-4882085.592804054
2575,2022,Sub-Saharan Africa,wat_pop_unimp_r,-1058878728.0771192
2752,2022,Australia and New Zealand,wat_pop_unimp_u,79241.12938356321
2753,2022,Central and Southern Asia,wat_pop_unimp_u,101712374.70124301
2754,2022,Eastern and South-Eastern Asia,wat_pop_unimp_u,139101542.6294436
2755,2022,Europe and Northern America,wat_pop_unimp_u,24629255.548655175
2756,2022,Latin America and the Caribbean,wat_pop_unimp_u,16212078.145789139
2757,2022,Northern Africa and Western Asia,wat_pop_unimp_u,16934352.05140865
2758,2022,Oceania,wat_pop_unimp_u,980708.8820023066
2759,2022,Sub-Saharan Africa,wat_pop_unimp_u,229307331.06192547
2936,2022,Australia and New Zealand,wat_pop_ns_t,0.0
2937,2022,Central and Southern Asia,wat_pop_ns_t,1681921.24513563
2938,2022,Eastern and South-Eastern Asia,wat_pop_ns_t,1119309.701137411
2939,2022,Europe and Northern America,wat_pop_ns_t,19923.885766432413
2940,2022,Latin America and the Caribbean,wat_pop_ns_t,289533.58453762054
2941,2022,Northern Africa and Western Asia,wat_pop_ns_t,245523.72375444352
2942,2022,Oceania,wat_pop_ns_t,217351.94907556986
2943,2022,Sub-Saharan Africa,wat_pop_ns_t,7236553.847955134
3120,2022,Australia and New Zealand,wat_pop_ns_r,0.0
3121,2022,Central and Southern Asia,wat_pop_ns_r,-77152359.81966835
3122,2022,Eastern and South-Eastern Asia,wat_pop_ns_r,-61423691.4086775
3123,2022,Europe and Northern America,wat_pop_ns_r,-29879.848595337724
3124,2022,Latin America and the Caribbean,wat_pop_ns_r,-89684056.79366675
3125,2022,Northern Africa and Western Asia,wat_pop_ns_r,-22506448.825353272
3126,2022,Oceania,wat_pop_ns_r,-3266393.1895888047
3127,2022,Sub-Saharan Africa,wat_pop_ns_r,-536782379.1810486
3304,2022,Australia and New Zealand,wat_pop_ns_u,0.0
3305,2022,Central and Southern Asia,wat_pop_ns_u,19907813.292589877
3306,2022,Eastern and South-Eastern Asia,wat_pop_ns_u,23323554.743833855
3307,2022,Europe and Northern America,wat_pop_ns_u,4144837.8692814074
3308,2022,Latin America and the Caribbean,wat_pop_ns_u,4904147.944872389
3309,2022,Northern Africa and Western Asia,wat_pop_ns_u,1907405.6989918216
3310,2022,Oceania,wat_pop_ns_u,907267.4031728387
3311,2022,Sub-Saharan Africa,wat_pop_ns_u,48971594.589588344
