HS4,HS4 ID,Current Exports Value
Horses,10101,7601946
Bovine,10102,14943240
Sheep and Goats,10104,46745
Poultry,10105,927
Other Animals,10106,4665462
Bovine Meat,10201,7178612
Frozen Bovine Meat,10202,124104445
Pig Meat,10203,523608564
Sheep and Goat Meat,10204,44620580
Edible Offal,10206,99133304
Poultry Meat,10207,711144582
Other Meat,10208,220262
Animal Fat,10209,35882315
Preserved Meat,10210,611001
Live Fish,10301,106915
Non-fillet Fresh Fish,10302,1080379283
Non-fillet Frozen Fish,10303,2149783119
Fish Fillets,10304,3734232217
Dried/Salted/Smoked/Brined Fish,10305,75083405
Crustaceans,10306,110438390
Molluscs,10307,173750382
"Aquatic invertebrates, other than crustaceans and molluscs",10308,115120241
Milk,10401,289202
Concentrated Milk,10402,114638749
Fermented Milk Products,10403,5680537
Whey and other milk products,10404,24554527
Butter,10405,11859326
Cheese,10406,36086917
Eggs,10407,935
Processed Egg Products,10408,326
Honey,10409,17329678
Other Edible Animal Products,10410,1598
Animal Organs,10504,28141285
Bird Feathers and Skins,10505,25
Processed Bones,10506,109207
Raw Bones,10507,31414
Coral and Shells,10508,233026
Pharmaceutical Animal Products,10510,10063183
Other Inedible Animal Products,10511,7290757
Bulbs and Roots,20601,25227330
"Other live plants, cuttings and slips;
mushroom spawn",20602,29284711
Cut Flowers,20603,12718569
Plant foliage,20604,3355968
Potatoes,20701,1593466
Tomatoes,20702,39163
Onions,20703,48011138
Cabbages,20704,56104
Lettuce,20705,64074
Root Vegetables,20706,189462
Cucumbers,20707,5502
Legumes,20708,18403
Other Vegetables,20709,2463451
Frozen Vegetables,20710,51188427
Preserved Vegetables,20711,1279542
Dried Vegetables,20712,16806247
Dried Legumes,20713,8953960
Cassava,20714,27145
"Coconuts, Brazil Nuts, and Cashews",20801,5631412
Other Nuts,20802,653645152
Bananas,20803,391896
Tropical Fruits,20804,305944335
Citrus,20805,317467579
Grapes,20806,1109408753
Melons,20807,177405
Apples and Pears,20808,677354943
Pitted Fruits,20809,2726259697
Other Fruits,20810,722343482
Frozen Fruits and Nuts,20811,550703437
Preserved Fruits and Nuts,20812,4278804
Dried Fruits,20813,306033548
Citrus and Melon Peels,20814,1805286
Coffee,20901,937209
