HS4,HS4 ID,Current Exports Value
"Sulfonated, Nitrated or Nitrosated Hydrocarbons",62904,1290911
"Acyclic alcohol derivatives (halogenated, sulphonated, nitrated)",62905,203689361
Cyclic Alcohols,62906,164943
Phenols,62907,20914
Ethers,62909,530999
Epoxides,62910,26980
Acetals and Hemiacetals,62911,39
"Aldehydes, cyclic polymers, and paraformaldehyde",62912,37191
Ketones and Quinones,62914,321480
Saturated Acyclic Monocarboxylic Acids,62915,963720
Unsaturated Acyclic Monocarboxylic Acids,62916,380150
Polycarboxylic Acids,62917,14849607
Carboxylic Acids,62918,9829861
Phosphoric Esters and Salts,62919,6473
Other Esters,62920,2956411
Amine Compounds,62921,1335359
Oxygen Amino Compounds,62922,213254
Quaternary Ammonium Salts and Hydroxides,62923,14542
Carboxyamide Compounds,62924,198894
Carboxyimide Compounds,62925,15571
Nitrile Compounds,62926,45292
"Diazo, Azo or Aoxy Compounds",62927,1800
Hydrazine or Hydroxylamine Derivatives,62928,10120
Other Nitrogen Compounds,62929,335540
Organo-Sulfur Compounds,62930,1271386
Other Organo-Inorganic Compounds,62931,1048458
Oxygen Heterocyclic Compounds,62932,1065306
Nitrogen Heterocyclic Compounds,62933,309719
Nucleic Acids,62934,2560377
Sulfonamides,62935,7900
Vitamins,62936,3280204
Hormones,62937,849015
Glycosides,62938,2787248
Vegetable Alkaloids,62939,830758
Chemically Pure Sugars,62940,39859
Antibiotics,62941,92719
Other Organic Compounds,62942,8954985
Glands and Other Organs,63001,210371
"Vaccines, blood, antisera, toxins and cultures",63002,6194393
Unpackaged Medicaments,63003,771580
Packaged Medicaments,63004,169571577
Bandages,63005,202715
Special Pharmaceuticals,63006,11322426
Animal or Vegetable Fertilizers,63101,4463287
Nitrogenous Fertilizers,63102,117187168
Phosphatic Fertilizers,63103,147714
Potassic Fertilizers,63104,132076824
Mixed Mineral or Chemical Fertilizers,63105,214246812
Vegetable Tanning Extracts,63201,35791
Synthetic Tanning Extracts,63202,81163
Vegetable or Animal Dyes,63203,1607077
Synthetic Coloring Matter,63204,3340441
Lake Pigments,63205,246588
Other Coloring Matter,63206,13854040
Prepared Pigments,63207,24842
Nonaqueous Paints,63208,2064015
Aqueous Paints,63209,2694869
Other Paints,63210,69426
Prepared Paint Driers,63211,190
Nonaqueous Pigments,63212,654235
Artistry Paints,63213,52546
Glaziers Putty,63214,7457299
Ink,63215,4757531
Essential Oils,63301,2185748
Scented Mixtures,63302,17863881
Perfumes,63303,14830104
Beauty Products,63304,31420369
Hair Products,63305,10153363
Dental Products,63306,791941
Shaving Products,63307,13330296
Soap,63401,5496692
Cleaning Products,63402,7149406
Lubricating Products,63403,4804696
Waxes,63404,288114
Polishes and Creams,63405,1242374
Candles,63406,125820
Pastes and Waxes,63407,51401
Water Soluble Proteins,63502,152
Gelatin,63503,12417
Peptones,63504,5585615
Dextrins,63505,360080
Glues,63506,14036936
Enzymes,63507,4305751
Propellant Powders,63601,139835
Prepared Explosives,63602,9531870
Detonating Fuses,63603,25225270
Fireworks,63604,1565.9999999999998
Matches,63605,4693137.000000001
Pyrophoric Alloys,63606,665
Photographic Plates,63701,416147
Photographic Film,63702,6822
Photographic Paper,63703,107665
Undeveloped Exposed Photographic Material,63704,264
Developed Exposed Photographic Material,63705,129
Photographic Chemicals,63707,157301
Artificial Graphite,63801,20425
Activated Carbon,63802,10593224
Wood Pulp Lyes,63804,92375
Turpentine,63805,300398.99999999994
Rosin,63806,38330
Pesticides,63808,76766499
Dyeing Finishing Agents,63809,784645
Metal Pickling Preparations,63810,620914
Antiknock,63811,443218
Prepared Rubber Accelerators,63812,3568150
Fire Extinguishers Preparations,63813,43792
Organic Composite Solvents,63814,471878
Reaction and Catalytic Products,63815,868930
Refractory Cements,63816,836442
Hydraulic Brake Fluid,63819,587786
Antifreeze,63820,609305
Micro-Organism Culture Preparations,63821,180289
Laboratory Reagents,63822,6730257
"Industrial Fatty Acids, Oils and Alcohols",63823,1140769
Prepr binder for foundry,63824,23487972
Residual products of the chemical or allied industries,63825,164
Biodiesel and mixtures thereof,63826,101863.00000000001
Ethylene Polymers,73901,4454831
Propylene Polymers,73902,63635639
Styrene Polymers,73903,5579302
Vinyl Chloride Polymers,73904,2070799
Other Vinyl Polymers,73905,796057
Acrylic Polymers,73906,4563734
Polyacetals,73907,7854188
Polyamides,73908,756883
Amino-resins,73909,3467945
Silicone,73910,317322
Petroleum Resins,73911,325362.99999999994
Cellulose,73912,1012511
Natural Polymers,73913,20146600
Polymer Ion-Exchangers,73914,27218
Scrap Plastic,73915,3630894
Monofilament,73916,6114665
Plastic Pipes,73917,35327310
Plastic Floor Coverings,73918,395492
Self-adhesive Plastics,73919,39200249
Raw Plastic Sheeting,73920,77836348
Other Plastic Sheetings,73921,15857530
Plastic Wash Basins,73922,284433
Plastic Lids,73923,68087734
Plastic Housewares,73924,5137538
Plastic Building Materials,73925,4827615
Other Plastic Products,73926,15873811
Rubber,74001,889349
Synthetic Rubber,74002,995569
Reclaimed Rubber,74003,9535
Scrap Rubber,74004,196874
Compounded Unvulcanised Rubber,74005,1394869
Unvulcanised Rubber Products,74006,36830
Rubber Thread,74007,7503.999999999999
Rubber Sheets,74008,157510
Rubber Pipes,74009,1761635
Rubber Belting,74010,2170989
Rubber Tires,74011,311745524
Used Rubber Tires,74012,412007
Rubber Inner Tubes,74013,1118802
Pharmaceutical Rubber Products,74014,6911
Rubber Apparel,74015,4584566
Other Rubber Products,74016,7942589
Hard Rubber,74017,110625
Equine and Bovine Hides,84101,5040931
Sheep Hides,84102,284359
Other Hides and Skins,84103,111091.00000000001
Tanned Equine and Bovine Hides,84104,4891055
Tanned Sheep Hides,84105,70293
Leather of Other Animals,84107,7360876
Leather further prepared after tanning or crusting of animals (other than ovine),84113,55344
Chamois (including combination chamois) leather,84114,954213
Saddlery,84201,172920
Trunks and Cases,84202,12135574
Leather Apparel,84203,768945
Other Leather Articles,84205,20179
Articles of Gut,84206,13569
Raw Furskins,84301,15397
Tanned Furskins,84302,5556
Furskin Apparel,84303,133089
Artificial Fur,84304,547
Fuel Wood,94401,353973003
Wood Charcoal,94402,5171
Rough Wood,94403,26353479
Wood Stakes,94404,193023
Wood Wool,94405,143975
Railroad Ties,94406,103964
Sawn Wood,94407,740376464
Veneer Sheets,94408,17016261
Shaped Wood,94409,252894993.00000003
Particle Board,94410,83385408
Wood Fiberboard,94411,316968769
Plywood,94412,367673502
Densified Wood,94413,62508
Wood Frames,94414,76497
Wood Crates,94415,8076148
Wood Barrels,94416,8797629
Wooden Tool Handles,94417,5193815
Wood Carpentry,94418,134569552
Wood Kitchenware,94419,216939
Wood Ornaments,94420,102923
Other Wood Articles,94421,10254292
Debacked Cork,94502,3205
Natural Cork Articles,94503,526295
Agglomerated Cork,94504,17697823.000000004
Plaiting Products,94601,1914
Basketwork,94602,4726
Mechanical Wood Pulp,104701,1286515
Dissolving Grades Chemical Woodpulp,104702,42157545
Sulfate Chemical Woodpulp,104703,2129752185
Sulfite Chemical Woodpulp,104704,1411968
Semi chemical Woodpulp,104705,1662300
Recovered Paper Pulp,104706,10710189
Recovered Paper,104707,6511713
Newsprint,104801,15907829
Uncoated Paper,104802,5332200
Tissue,104803,21098063
Kraft Paper,104804,58019683
Other Uncoated Paper,104805,44671064
Vegetable Parchment,104806,117678
Composite Paper,104807,557231
Corrugated Paper,104808,811291
Carbon Paper,104809,136427
Kaolin Coated Paper,104810,352264693
Cellulose Fibers Paper,104811,25423180
Paper Pulp Filter Blocks,104812,44851
Cigarette Paper,104813,369521
Wallpaper,104814,878539
Other Carbon Paper,104816,1449426.0000000002
Letter Stock,104817,152694
Toilet Paper,104818,4920110
Paper Containers,104819,35096845
Paper Notebooks,104820,3481712.9999999995
Paper Labels,104821,3231287
Paper Spools,104822,49474
Shaped Paper,104823,6597291
Brochures,104901,2787581
Newspapers,104902,423512
Children's Picture Books,104903,83827
Maps,104905,1093
Architectural Plans,104906,249411
Documents of title (bonds etc) and unused stamps,104907,5100037
Decals,104908,159159
Postcards,104909,55107
Calendars,104910,18590
Other Printed Material,104911,4659842
Silk Fabrics,115007,35568
Wool,115101,5598147
Wool or Animal Hair Waste,115103,493574
Prepared Wool or Animal Hair,115105,7829456
Non-Retail Combed Wool Yarn,115107,629767
Non-Retail Animal Hair Yarn,115108,828
Retail Wool or Animal Hair Yarn,115109,339093
Carded Wool or Animal Hair Fabric,115111,451792
Combed Wool or Animal Hair Fabric,115112,12524650
Raw Cotton,115201,7257.999999999999
Cotton Waste,115202,462.99999999999994
Prepared Cotton,115203,39
Cotton Sewing Thread,115204,15216
Non-Retail Pure Cotton Yarn,115205,1088
Non-Retail Mixed Cotton Yarn,115206,21090
Retail Cotton Yarn,115207,50999
Light Pure Woven Cotton,115208,155930
Heavy Pure Woven Cotton,115209,1228753
Light Mixed Woven Cotton,115210,238201
Heavy Mixed Woven Cotton,115211,1649193
Other Cotton Fabrics,115212,194277
Coconut and Other Vegetable Fibers,115305,86675
Flax Yarn,115306,25942
Jute Yarn,115307,348
Other Vegetable Fibers Yarn,115308,349
Flax Woven Fabric,115309,695785
Other Vegetable Fibers Fabric,115311,27682
Artificial Filament Sewing Thread,115401,172480
Non-Retail Synthetic Filament Yarn,115402,392698
Non-Retail Artificial Filament Yarn,115403,122878
Synthetic Monofilament,115404,24806
Retail Artificial Filament Yarn,115406,160
Synthetic Filament Yarn Woven Fabric,115407,23751234
Artificial Filament Yarn Woven Fabric,115408,1099907
Synthetic Filament Tow,115501,72004
Artificial Filament Tow,115502,55687
Unprocessed Synthetic Staple Fibers,115503,33628
Unprocessed Artificial Staple Fibers,115504,54734
Artificial Fibers Waste,115505,71954
Processed Synthetic Staple Fibers,115506,10674.000000000002
Non-Retail Artificial Staple Fibers Sewing Thread,115508,119855
Non-Retail Synthetic Staple Fibers Yarn,115509,750992
Non-Retail Artificial Staple Fibers Yarn,115510,9646
Retail Artificial Staple Fibers Yarn,115511,236034
Synthetic Fabrics,115512,8522230
Light Synthetic Cotton Fabrics,115513,4184660
Heavy Synthetic Cotton Fabrics,115514,944720
Other Synthetic Fabrics,115515,516602
Woven Fabric of Synthetic Staple Fibers,115516,13884325
Wadding,115601,2077082
Felt,115602,138753
Non-woven Textiles,115603,9796635
Rubber Textiles,115604,27154
Gimp Yarn,115606,4453
Twine and Rope,115607,490818
"Twine, cordage or rope; knotted netting, made up fishing nets and other made up nets, of textile materials",115608,2005636
Other Articles of Twine and Rope,115609,82140
Knotted Carpets,115701,499331
Hand-Woven Rugs,115702,191808
Tufted Carpets,115703,8975694
Felt Carpets,115704,634107
Other Carpets,115705,2012542
Woven Fabrics,115801,225571
Terry Fabric,115802,144877
Gauze,115803,2869
Tulles and Net Fabric,115804,8460
Hand-Woven Tapestries,115805,5
Narrow Woven Fabric,115806,504377
Labels,115807,43824
Ornamental Trimmings,115808,71620
Metallic Fabric,115809,1631
Embroidery,115810,185972
Quilted Textiles,115811,142374
Gum Coated Textile Fabric,115901,107761
Polyamide Fabric,115902,90626
Plastic Coated Textile Fabric,115903,3207998
Linoleum,115904,45171
Textile Wall Coverings,115905,1326
Rubber Textile Fabric,115906,310389
Coated Textile Fabric,115907,29976
Textile Wicks,115908,509638
Hose Piping Textiles,115909,173150
Conveyor Belt Textiles,115910,58220.00000000001
Textiles for technical uses,115911,1178842
Pile Fabric,116001,882150
Light Rubberized Knitted Fabric,116002,247414.99999999997
Knitted or crocheted fabrics of a width not exceeding 30 cm,116003,117869
Knitted or crocheted fabrics of a width exceeding 30 cm,116004,29748
Warp knit fabrics (including those made on galloon knitting machines),116005,10699744
Other knitted or crocheted fabrics.,116006,1318726
Knit Men's Coats,116101,133957
Knit Women's Coats,116102,380753
Knit Men's Suits,116103,3599055
Knit Women's Suits,116104,2913306
Knit Men's Shirts,116105,1311774
Knit Women's Shirts,116106,439789
Knit Men's Undergarments,116107,2485094
Knit Women's Undergarments,116108,1963789
Knit T-shirts,116109,8862090
Knit Sweaters,116110,7462677
Knit Babies' Garments,116111,1214507
Knit Active Wear,116112,2771552
Garments of Impregnated Fabric,116113,47798
Other Knit Garments,116114,423610
Knit Socks and Hosiery,116115,20501433
Knit Gloves,116116,847792
Other Knit Clothing Accessories,116117,138774
Non-Knit Men's Coats,116201,11280903
Non-Knit Women's Coats,116202,9669139
Non-Knit Men's Suits,116203,9438276
Non-Knit Women's Suits,116204,15064058
Non-Knit Men's Shirts,116205,1180503
Non-Knit Women's Shirts,116206,2970467
Non-Knit Men's Undergarments,116207,3977319
Non-Knit Women's Undergarments,116208,2011008
Non-Knit Babies' Garments,116209,190992
Felt or Coated Fabric Garments,116210,4224763
Non-Knit Active Wear,116211,4060870
Other Women's Undergarments,116212,4218875
Handkerchiefs,116213,17725
Scarves,116214,397864
Neck Ties,116215,300067
Non-Knit Gloves,116216,369098
Other Non-Knit Clothing Accessories,116217,121881
Blankets,116301,7019165
House Linens,116302,13064869
Window Dressings,116303,1903730
Bedspreads,116304,1332803
Packing Bags,116305,1519240
"Awnings, Tents, and Sails",116306,1686893
Other Cloth Articles,116307,8783003
Packaged Sewing Sets,116308,192737
Used Clothing,116309,13307220
Textile Scraps,116310,86821
Waterproof Footwear,126401,326420
Rubber Footwear,126402,40342427
Leather Footwear,126403,4214228
Textile Footwear,126404,24862163
Other Footwear,126405,723839.9999999999
Footwear Parts,126406,347408
Hat Forms,126501,2392
Hat Shapes,126502,332
Hats,126504,405660
Knitted Hats,126505,440330
Other Headwear,126506,554050
Headbands and Linings,126507,343825
Umbrellas,126601,1059394
Walking Sticks,126602,40068
Umbrella and Walking Stick Accessories,126603,100114
Artificial Vegetation,126702,802354
Processed Hair,126703,386
Fake Hair,126704,44764
Building Stone,136802,27008
Worked Slate,136803,9310
Milling Stones,136804,2147085
Abrasive Powder,136805,817512
Rock Wool,136806,429361
Asphalt,136807,24317
Vegetable Fiber,136808,38434
Plaster Articles,136809,668944
Cement Articles,136810,4872336
Asbestos Cement Articles,136811,1894473
Asbestos Fibres,136812,134764
Friction Material,136813,1567951
Processed Mica,136814,1238
Other Stone Articles,136815,3966823
Bricks,136901,99257
Refractory Bricks,136902,116393
Refractory Ceramics,136903,1255700
Ceramic Bricks,136904,4913
Roofing Tiles,136905,4294
Ceramic Pipes,136906,101051.99999999999
Unglazed Ceramics,136907,180668
Laboratory Ceramic Ware,136909,1302887
Bathroom Ceramics,136910,710033
Porcelain Tableware,136911,284116
Ceramic Tableware,136912,2794020
Ornamental Ceramics,136913,244213
Other Ceramic Articles,136914,98636
Glass Scraps,137001,451
Glass Balls,137002,4710.000000000001
Cast or Rolled Glass,137003,8211
Blown Glass,137004,92588
Float Glass,137005,2583202
Glass with Edge Workings,137006,803
Safety Glass,137007,7481565.000000001
Insulating Glass,137008,3664656
Glass Mirrors,137009,720061
Glass Bottles,137010,50486394
Glass Bulbs,137011,22178
Interior Decorative Glassware,137013,1541374
Signaling Glassware,137014,5723.000000000001
Eyewear and Clock Glass,137015,650
Glass Bricks,137016,12092
Laboratory Glassware,137017,56734
Glass Beads,137018,57047
Glass Fibers,137019,2361400
Other Glass Articles,137020,54864
Pearls,147101,2548
Precious Stones,147103,889025.0000000001
Synthetic Reconstructed Jewellery Stones,147104,191
Precious Stone Dust,147105,65331.99999999999
Silver,147106,256772358
Gold,147108,915058091.0000001
Platinum,147110,4400684
Precious Metal Scraps,147112,53671400
Jewellery,147113,945297
Metal-Clad Products,147114,6059
Other Precious Metal Products,147115,11793112
Pearl Products,147116,25815
Imitation Jewellery,147117,379701
Coin,147118,6428349
Pig Iron,157201,3300
Ferroalloys,157202,113207568
Iron Reductions,157203,439
Scrap Iron,157204,98709330
Iron Powder,157205,179198
Iron Ingots,157206,324
Semi-Finished Iron,157207,10143019
Hot-Rolled Iron,157208,332305
Cold-Rolled Iron,157209,188535
Coated Flat-Rolled Iron,157210,1301780
Large Flat-Rolled Iron,157211,169286
Large Coated Flat-Rolled Iron,157212,2471739
Hot-Rolled Iron Bars,157213,15597608
Raw Iron Bars,157214,5478517.999999999
Other Iron Bars,157215,115271
Iron Blocks,157216,2378218
Iron Wire,157217,1020489
Stainless Steel Ingots,157218,35900
Large Flat-Rolled Stainless Steel,157219,2050437
Flat-Rolled Stainless Steel,157220,3703.0000000000005
Other Stainless Steel Bars,157222,386286
Stainless Steel Wire,157223,34353
Steel Ingots,157224,468942
Flat Flat-Rolled Steel,157225,1194816
Flat-Rolled Iron,157226,22287
Steel Bars,157227,482609
Other Steel Bars,157228,96809786
Steel Wire,157229,65409
Iron Railway Products,157302,79288
Cast Iron Pipes,157303,67805
Iron Pipes,157304,4480099
Other Large Iron Pipes,157305,4232996
Other Small Iron Pipes,157306,1805418
Iron Pipe Fittings,157307,3582397
Iron Structures,157308,22124863
Large Iron Containers,157309,399460
Small Iron Containers,157310,25741508
Iron Gas Containers,157311,1796336
Stranded Iron Wire,157312,8889831
Barbed Wire,157313,12424
Iron Cloth,157314,3748838
Iron Chains,157315,2069574
Iron Anchors,157316,42716
Iron Nails,157317,430234
Iron Fasteners,157318,7735250
Iron Sewing Needles,157319,41919
Iron Springs,157320,231244
Iron Stovetops,157321,4120695
Iron Radiators,157322,124456
Iron Housewares,157323,15840235
Iron Toiletry,157324,321218
Other Cast Iron Products,157325,18028486
Other Iron Products,157326,77294934
Precipitated Copper,157401,177888023
Raw Copper,157402,1988651559
Refined Copper,157403,14480151196
Scrap Copper,157404,104972265
Copper Alloys,157405,164453.99999999997
Copper Powder,157406,484699
Copper Bars,157407,13024553
Copper Wire,157408,133666496
Copper Plating,157409,351609
Copper Foil,157410,3826
Copper Pipes,157411,901412
Copper Pipe Fittings,157412,177480
Stranded Copper Wire,157413,9320921
Copper Fasteners,157415,42442
Copper Housewares,157418,162169
Other Copper Products,157419,105772
Nickel Mattes,157501,6904
Raw Nickel,157502,75194.99999999999
Scrap Nickel,157503,62544
Nickel Powder,157504,1198
Nickel Sheets,157506,6439
Other Nickel Products,157508,371
Raw Aluminium,157601,314308
Scrap Aluminium,157602,36548711
Aluminium Powder,157603,357954
Aluminium Bars,157604,876746
Aluminium Wire,157605,152048
Aluminium Plating,157606,1183716
Aluminium Foil,157607,24007781
Aluminium Pipes,157608,48949
Aluminium Pipe Fittings,157609,140480
Aluminium Structures,157610,1683529
Large Aluminium Containers,157611,41983
Aluminium Cans,157612,40494355
Aluminium Gas Containers,157613,657757
Stranded Aluminium Wire,157614,768666
Aluminium Housewares,157615,1252038
Other Aluminium Products,157616,1929439
Raw Lead,157801,17730772
Scrap Lead,157802,302299
Lead Sheets,157804,346018
Other Lead Products,157806,7567928
Raw Zinc,157901,107570
Scrap Waste,157902,665106
Zinc Powder,157903,203986.00000000003
Zinc Bars,157904,16907
Zinc Sheets,157905,287093
Other Zinc Products,157907,85909
Raw Tin,158001,17380826
Tin Bars,158003,130803.99999999999
Other Tin Products,158007,29407
Tungsten,158101,590030
Molybdenum,158102,2537
Magnesium,158104,266671
Titanium,158108,188875
