HS4,HS4 ID,Current Exports Value
Horses,10101,11167866
Bovine,10102,415064
Sheep and Goats,10104,180143
Poultry,10105,16491
Other Animals,10106,2075684
Bovine Meat,10201,7097743
Frozen Bovine Meat,10202,74249579
Pig Meat,10203,525593442
Sheep and Goat Meat,10204,36030987
Horse Meat,10205,3433.9999999999995
Edible Offal,10206,75052112
Poultry Meat,10207,407953112
Other Meat,10208,461489
Animal Fat,10209,32753945
Preserved Meat,10210,4322209
Live Fish,10301,573219
Non-fillet Fresh Fish,10302,918336748
Non-fillet Frozen Fish,10303,1813083077
Fish Fillets,10304,2529639892
Dried/Salted/Smoked/Brined Fish,10305,60054872
Crustaceans,10306,84970367
Molluscs,10307,147831423
"Aquatic invertebrates, other than crustaceans and molluscs",10308,87203320
Milk,10401,899546.0000000001
Concentrated Milk,10402,79376079
Fermented Milk Products,10403,3117164
Whey and other milk products,10404,14546304
Butter,10405,11176395
Cheese,10406,39931554
Eggs,10407,1080
Honey,10409,12739997
Other Edible Animal Products,10410,102
Animal Organs,10504,34532756
Processed Bones,10506,248409
Raw Bones,10507,4001
Coral and Shells,10508,63107
Pharmaceutical Animal Products,10510,5099114
Other Inedible Animal Products,10511,5307970
Bulbs and Roots,20601,25983308
"Other live plants, cuttings and slips;
mushroom spawn",20602,37472062
Cut Flowers,20603,8783984
Plant foliage,20604,6377981
Potatoes,20701,1351738
Tomatoes,20702,22749
Onions,20703,44014389.99999999
Cabbages,20704,233570
Lettuce,20705,16245
Root Vegetables,20706,18891
Cucumbers,20707,9763
Legumes,20708,2989
Other Vegetables,20709,2355472
Frozen Vegetables,20710,50552727
Preserved Vegetables,20711,1139379
Dried Vegetables,20712,19901381
Dried Legumes,20713,9826320
Cassava,20714,43834
"Coconuts, Brazil Nuts, and Cashews",20801,6002309
Other Nuts,20802,625552840
Bananas,20803,770274
Tropical Fruits,20804,435983736
Citrus,20805,405194090
Grapes,20806,1466067533
Melons,20807,70147
Apples and Pears,20808,783098963
Pitted Fruits,20809,2062688187
Other Fruits,20810,836965707
Frozen Fruits and Nuts,20811,388923998
Preserved Fruits and Nuts,20812,5675538
Dried Fruits,20813,186692117
Citrus and Melon Peels,20814,923442
Coffee,20901,532306
Tea,20902,4775620
Mate,20903,13086.000000000002
Pepper,20904,3547644
Cinnamon,20906,10461
Cloves,20907,62.000000000000014
"Nutmeg, mace and cardamons",20908,70.00000000000001
Spice Seeds,20909,695126
Spices,20910,346021
Wheat,21001,4264
Barley,21003,25327
Oats,21004,7703534
Corn,21005,71782694
Rice,21006,4546495
Sorghum,21007,40699
Buckwheat,21008,1032259.9999999999
Wheat Flours,21101,2122411
Cereal Flours,21102,3631420
Cereal Meal and Pellets,21103,424
Processed Cereals,21104,91576602
Potato Flours,21105,86750
Legume Flours,21106,7153404
Malt,21107,16431982
Starches,21108,43115449
Wheat Gluten,21109,2533
Soybeans,21201,11798002
Ground Nuts,21202,263
Linseed,21204,7348
Rapeseed,21205,20280920
Sunflower Seeds,21206,31549358
Other Oily Seeds,21207,11295372
Oil Seed Flower,21208,56823
Sowing Seeds,21209,257165730
Hops,21210,39476
Perfume Plants,21211,32057734
"Locust beans, seaweed, sugar beet, cane, for food",21212,92773003
Forage Crops,21214,12706275
Insect Resins,21301,77937
Vegetable Saps,21302,114723527
Vegetable Plaiting Materials,21401,1099343
Other Vegetable Products,21404,29931232
Pig and Poultry Fat,31501,35618
"Bovine, Sheep, and Goat Fat",31502,1304455
Fish Oil,31504,157143886
Wool Grease,31505,382880
Other Animal Fats,31506,582338
Soybean Oil,31507,1057375
Ground Nut Oil,31508,1537
Pure Olive Oil,31509,52432434
