HS4,HS4 ID,Current Exports Value
Horses,10101,6614114
Bovine,10102,2065099
Pigs,10103,36779
Poultry,10105,742
Other Animals,10106,1939986
Bovine Meat,10201,6218689
Frozen Bovine Meat,10202,35010715
Pig Meat,10203,449594626
Sheep and Goat Meat,10204,35446150
Edible Offal,10206,53438190.00000001
Poultry Meat,10207,356627815
Other Meat,10208,1087968
Animal Fat,10209,34901501
Preserved Meat,10210,10711654.000000002
Live Fish,10301,699588
Non-fillet Fresh Fish,10302,874039215
Non-fillet Frozen Fish,10303,1853855345
Fish Fillets,10304,2583654501
Dried/Salted/Smoked/Brined Fish,10305,65653618
Crustaceans,10306,101045986
Molluscs,10307,275729615
"Aquatic invertebrates, other than crustaceans and molluscs",10308,68224364
Milk,10401,529198
Concentrated Milk,10402,68697083
Fermented Milk Products,10403,2037794
Whey and other milk products,10404,12267532
Butter,10405,10148313
Cheese,10406,32188276
Eggs,10407,3805.0000000000005
Processed Egg Products,10408,155
Honey,10409,29127747
Animal Organs,10504,39899869
Bird Feathers and Skins,10505,382
Processed Bones,10506,311557
Raw Bones,10507,8190
Coral and Shells,10508,83601
Pharmaceutical Animal Products,10510,3163543
Other Inedible Animal Products,10511,6949663
Bulbs and Roots,20601,28481378
"Other live plants, cuttings and slips;
mushroom spawn",20602,27560713
Cut Flowers,20603,7125853.000000001
Plant foliage,20604,4155530.9999999995
Potatoes,20701,373640
Tomatoes,20702,161609
Onions,20703,34278413
Cabbages,20704,174362
Lettuce,20705,155779
Root Vegetables,20706,65823
Cucumbers,20707,36883
Legumes,20708,145977
Other Vegetables,20709,1187066
Frozen Vegetables,20710,55150031
Preserved Vegetables,20711,2819906
Dried Vegetables,20712,18419718
Dried Legumes,20713,13744849
Cassava,20714,34852
"Coconuts, Brazil Nuts, and Cashews",20801,7499297
Other Nuts,20802,573485639
Bananas,20803,717179
Tropical Fruits,20804,372011561
Citrus,20805,456508226
Grapes,20806,1484599387
Melons,20807,175062
Apples and Pears,20808,912155466
Pitted Fruits,20809,1533800389
Other Fruits,20810,933903577
Frozen Fruits and Nuts,20811,376413316
Preserved Fruits and Nuts,20812,6626607
Dried Fruits,20813,209569962
Citrus and Melon Peels,20814,1341621
Coffee,20901,399107
Tea,20902,6195496
Mate,20903,17356
Pepper,20904,4436750
Cinnamon,20906,2679
Cloves,20907,4930
"Nutmeg, mace and cardamons",20908,348
Spice Seeds,20909,1044117.0000000001
Spices,20910,555404
Wheat,21001,72593
Rye,21002,267607
Barley,21003,42053
Oats,21004,9873064
Corn,21005,98511771
Rice,21006,6423922.999999999
Sorghum,21007,29345
Buckwheat,21008,1042114
Wheat Flours,21101,2557168
Cereal Flours,21102,2983087
Cereal Meal and Pellets,21103,322
Processed Cereals,21104,72370839
Potato Flours,21105,75436
Legume Flours,21106,6049024
Malt,21107,15566293
Starches,21108,44427275
Wheat Gluten,21109,5452.999999999999
Soybeans,21201,14445529
Ground Nuts,21202,3564.9999999999995
Linseed,21204,7314
Rapeseed,21205,23251337
Sunflower Seeds,21206,59518549
Other Oily Seeds,21207,11931844
Oil Seed Flower,21208,35959
Sowing Seeds,21209,255610396
Hops,21210,14203
Perfume Plants,21211,33898221
"Locust beans, seaweed, sugar beet, cane, for food",21212,114598587
Forage Crops,21214,9985721
Insect Resins,21301,156433
Vegetable Saps,21302,112540748
Vegetable Plaiting Materials,21401,939880
Other Vegetable Products,21404,23797088
Pig and Poultry Fat,31501,15
"Bovine, Sheep, and Goat Fat",31502,141746
Fish Oil,31504,140215732
Wool Grease,31505,152342
Other Animal Fats,31506,113154
Soybean Oil,31507,25121
Pure Olive Oil,31509,72925945
Olive Oil,31510,42879
Palm Oil,31511,80818
Seed Oils,31512,4535311
Coconut Oil,31513,143594
Rapeseed Oil,31514,1262891.9999999998
Other Pure Vegetable Oils,31515,10680237
Other Vegetable Oils,31516,27962942
Margarine,31517,5231356
Inedible Fats and Oils,31518,14599044
Glycerol,31520,12648
Vegetable waxes and beeswax,31521,110568
Fat and Oil Residues,31522,2848.0000000000005
Sausages,41601,85847
Other Prepared Meat,41602,70259812
Animal Extracts,41603,15033.999999999998
Processed Fish,41604,76436103
Processed Crustaceans,41605,356856813
Raw Sugar,41701,2826444
Other Sugars,41702,21773912
Molasses,41703,884883
Confectionery Sugar,41704,7870402
Cocoa Beans,41801,6455.999999999999
Cocoa Paste,41803,31344
Cocoa Butter,41804,701723
Cocoa Powder,41805,25671
Chocolate,41806,23026895
Malt Extract,41901,115009613
Pasta,41902,11991324
Prepared Cereals,41904,41156170
Baked Goods,41905,11860612
Pickled Foods,42001,2275313
Processed Tomatoes,42002,97126516
Processed Mushrooms,42003,223645
Other Frozen Vegetables,42004,97442
Other Processed Vegetables,42005,11646692
Sugar Preserved Foods,42006,960165
Jams,42007,149997576
Other Processed Fruits and Nuts,42008,190058456
Fruit Juice,42009,241305403
Coffee and Tea Extracts,42101,40062782
Yeast,42102,935710
Sauces and Seasonings,42103,12838782
Soups and Broths,42104,14400758
Ice Cream,42105,457546.00000000006
Other Edible Preparations,42106,223166348
Water,42201,363591
Flavored Water,42202,3781502
Beer,42203,1628557
Wine,42204,2035074547
Vermouth,42205,5011664
Other Fermented Beverages,42206,785521
Alcohol > 80% ABV,42207,2160415
Hard Liquor,42208,24731210
Vinegar,42209,238582
Animal Meal and Pellets,42301,378314516
Bran,42302,918289
Starch Residue,42303,9842918
Soybean Meal,42304,215
Other Vegetable Residues,42306,521812
Wine Lees,42307,556738
Other Vegetable Residues and Waste,42308,560188
Animal Food,42309,65495091
Raw Tobacco,42401,356.00000000000006
Rolled Tobacco,42402,88105534
Processed Tobacco,42403,65859
Salt,52501,212729083
Iron Pyrites,52502,2320214
Sulphur,52503,1283121
Graphite,52504,130
Sand,52505,591743
Quartz,52506,89099
Kaolin,52507,121437.99999999999
Clays,52508,252164
Barium Sulphate,52511,86304.99999999999
Siliceous Fossil Meals,52512,747976
Pumice,52513,1553
"Marble, Travertine and Alabaster",52515,1250273
Granite,52516,12276
Gravel and Crushed Stone,52517,94696
Magnesium Carbonate,52519,36259
Gypsum,52520,312967
Limestone,52521,1546
Quicklime,52522,152752
Cement,52523,602081
Soapstone,52526,1926
Borax,52528,8232645
Feldspar,52529,18067
Other Mineral,52530,1273105
Iron Ore,52601,1032427006
Copper Ore,52603,17822456188
Lead Ore,52607,2959580
Zinc Ore,52608,229274290
Chromium Ore,52610,208946
Tungsten Ore,52611,6348
Uranium and Thorium Ore,52612,168.99999999999997
Molybdenum Ore,52613,1527037928
"Niobium, Tantalum, Vanadium and Zirconium Ore",52615,26339.000000000004
Precious Metal Ore,52616,19944700
Other Ores,52617,99158.99999999999
Granulated Slag,52618,150073
"Non-Iron and Steel Slag, Ash and Residues",52620,18623408
Other Slag and Ash,52621,267242
Coal Briquettes,52701,24880041
Peat,52703,328519
Coke,52704,3723209.0000000005
Coal Tar Oil,52707,24089
Refined Petroleum,52710,278985447
Petroleum Gas,52711,130427988
Petroleum Jelly,52712,30363
Petroleum Coke,52713,22678275.000000004
Bitumen and asphalt,52714,1073558
Asphalt Mixtures,52715,10552830
Electricity,52716,903492
Halogens,62801,518346234
Sulfur,62802,892461
Carbon,62803,19620
Hydrogen,62804,7990634
"Alkali, alkaline-earth, rare-earth metals, scandium, yttrium, and mercury",62805,518550
Hydrochloric Acid,62806,382431
Sulfuric Acid,62807,1861759.9999999998
Nitric Acids,62808,864824
Phosphoric Acid,62809,41599
Boron,62810,46602258
Other Inorganic Acids,62811,588367
Halides,62812,81
Nonmetal Sulfides,62813,2171558
Ammonia,62814,295153
Sodium or Potassium Peroxides,62815,253307
Zinc Oxide and Peroxide,62817,219794
Aluminium Oxide,62818,4980
Manganese Oxides,62820,41479
Iron Oxides and Hydroxides,62821,895305.9999999999
Cobalt Oxides and Hydroxides,62822,143.00000000000003
Titanium Oxides,62823,259960
Lead Oxides,62824,103452
Inorganic Salts,62825,339791399
Fluorides,62826,25297.999999999996
Chlorides,62827,58044659
Hypochlorites,62828,20650
Chlorates and Perchlorates,62829,3556314
Sulfides,62830,51568
Sulfites,62832,315378
Sulfates,62833,30103229
Nitrites and Nitrates,62834,424540413
Phosphinates (hypophosphites) and phosphonates (phosphites),62835,776678
Carbonates,62836,1013182304
