HS4,HS4 ID,Current Exports Value
Horses,10101,5508338
Bovine,10102,32905610
Poultry,10105,5937
Other Animals,10106,7180722
Bovine Meat,10201,5355985
Frozen Bovine Meat,10202,75291918
Pig Meat,10203,670302443
Sheep and Goat Meat,10204,40565860
Edible Offal,10206,105995023
Poultry Meat,10207,503782889
Other Meat,10208,371022
Animal Fat,10209,42633548
Preserved Meat,10210,716214
Live Fish,10301,72232
Non-fillet Fresh Fish,10302,889663231
Non-fillet Frozen Fish,10303,1613066697
Fish Fillets,10304,2932234655
Dried/Salted/Smoked/Brined Fish,10305,61803993
Crustaceans,10306,91228143
Molluscs,10307,103902623
"Aquatic invertebrates, other than crustaceans and molluscs",10308,77465936
Milk,10401,490714.00000000006
Concentrated Milk,10402,53075010
Fermented Milk Products,10403,3366668.9999999995
Whey and other milk products,10404,15759971
Butter,10405,7669030
Cheese,10406,33260681
Eggs,10407,4520
Honey,10409,13595955.000000002
Other Edible Animal Products,10410,939
Animal Organs,10504,24447947
Bird Feathers and Skins,10505,52.99999999999999
Processed Bones,10506,74722
Coral and Shells,10508,226407
Pharmaceutical Animal Products,10510,12991489
Other Inedible Animal Products,10511,5825143
Bulbs and Roots,20601,24583054
"Other live plants, cuttings and slips;
mushroom spawn",20602,24619212
Cut Flowers,20603,9133987
Plant foliage,20604,2721472
Potatoes,20701,731532
Tomatoes,20702,72712
Onions,20703,56053079
Cabbages,20704,148284
Lettuce,20705,3026
Root Vegetables,20706,31021
Cucumbers,20707,155.00000000000003
Legumes,20708,67521
Other Vegetables,20709,2001410
Frozen Vegetables,20710,42498824
Preserved Vegetables,20711,1132050
Dried Vegetables,20712,18978812
Dried Legumes,20713,11210501
Cassava,20714,89931
"Coconuts, Brazil Nuts, and Cashews",20801,4447242
Other Nuts,20802,686626997
Bananas,20803,363598
Tropical Fruits,20804,330342260
Citrus,20805,461205947
Grapes,20806,1130118998
Melons,20807,64094
Apples and Pears,20808,780647407
Pitted Fruits,20809,2185226177
Other Fruits,20810,900724269
Frozen Fruits and Nuts,20811,501864399
Preserved Fruits and Nuts,20812,4015276
Dried Fruits,20813,225422716
Citrus and Melon Peels,20814,1108919
Coffee,20901,824344
Tea,20902,4045419
Mate,20903,37881
Pepper,20904,2065279
Vanilla,20905,4490
Cinnamon,20906,26068
"Nutmeg, mace and cardamons",20908,33
Spice Seeds,20909,461236.00000000006
Spices,20910,608642
Wheat,21001,3268
Barley,21003,191781
Oats,21004,2462409
Corn,21005,107766395
Rice,21006,211943
Sorghum,21007,53810
Buckwheat,21008,467133
Wheat Flours,21101,1160203
Cereal Flours,21102,3906508
Cereal Meal and Pellets,21103,59236
Processed Cereals,21104,120148703
Potato Flours,21105,137550
Legume Flours,21106,10819683
Malt,21107,7971809
Starches,21108,59711843
Wheat Gluten,21109,5058
Soybeans,21201,15874034
Ground Nuts,21202,1977510.9999999998
